"Family","Count"
"pleuronectidae",13274
"gadidae",11571
"ammodytidae",7257
"myctophidae",5718
"hexagrammidae",5324
"cottidae",4930
"sebastidae",3746
"bathylagidae",2623
"osmeridae",2409
"stichaeidae",1760
"agonidae",1546
"bathymasteridae",1286
"cryptacanthodidae",1278
"anoplopomatidae",671
"disintegrated",546
"liparidae",510
"zaproridae",470
"scomberesocidae",343
"paralichthyidae",241
"psychrolutidae",183
"stomiidae",170
"paralepididae",114
"pholidae",104
"engraulidae",103
"clupeidae",97
"merlucciidae",93
"scorpaenidae",88
"microstomatidae",73
"centrolophidae",50
"gobiesocidae",43
"hemitripteridae",28
"sternoptychidae",23
"gobiidae",22
"trachipteridae",22
"gonostomatidae",21
"melamphaidae",18
"pomacentridae",16
"aulorhynchidae",14
"ptilichthyidae",14
"trichodontidae",13
"cyclopteridae",12
"icosteidae",11
"gasterosteidae",10
"bythitidae",9
"zoarcidae",7
"gempylidae",5
"blenniidae",4
"melanonidae",4
"opisthoproctidae",4
"anarhichadidae",3
"carangidae",3
"centrarchidae",3
"macrouridae",3
"pegasidae",3
"phosichthyidae",3
"poeciliidae",3
"ceratiidae",2
"clinidae",2
"rhamphocottidae",2
"salmonidae",2
"tetragonuridae",2
"argentinidae",1
"bramidae",1
"champsodontidae",1
"embiotocidae",1
"eurypharyngidae",1
"gigantactinidae",1
"himantolophidae",1
"howellidae",1
"ictaluridae",1
"mirapinnidae",1
"molidae",1
"nomeidae",1
"notosudidae",1
"oneirodidae",1
"scopelarchidae",1
"stromateidae",1
"stylephoridae",1
"teleost",1
"zenionidae",1
