"Collector","Count"
"311",4
"312",6
"avian",566
"lab",566
"parrish",566
"predation",566
"project",566
"etnier",148
"ma",97
"psamp",25
"kopperl",23
"da",21
"m",20
"r",16
"wadfg",15
"fish",14
"m.a",13
"d.a",9
"re",9
"and",7
"uw",7
"la",6
"nagaoka",6
"of",6
"amorosi",5
"dept",5
"noaa",5
"t",5
"campen",4
"game",4
"gregory",4
"jm",4
"jr",4
"nmfs",4
"observer",4
"quinnell",4
"stan",4
"steve",4
"wa",4
"aboard",3
"b",3
"baxter",3
"broughton",3
"d.a.etnier",3
"fong",3
"kittiwake",3
"mark",3
"the",3
"tj",3
"v",3
"bruce",2
"c",2
"call",2
"eikeland",2
"h",2
"j",2
"j.t",2
"miller",2
"pj",2
"s",2
"squartsoff",2
"towell",2
"ben",1
"c.w",1
"christiansen",1
"d",1
"dave",1
"derrick",1
"dr",1
"egledia",1
"el",1
"farnum",1
"fiscus",1
"fitzhugh",1
"fsh",1
"ggj",1
"gretchen",1
"hana",1
"heath",1
"ira",1
"island",1
"jim",1
"jl",1
"john",1
"jt",1
"k",1
"kate",1
"kurle",1
"kyung",1
"l",1
"larson",1
"lee",1
"lemons",1
"lewis",1
"lindbom",1
"loomis",1
"manzano",1
"miles",1
"mm",1
"mvd",1
"nathan",1
"nowak",1
"or",1
"oregon",1
"p",1
"patrick",1
"point",1
"raz",1
"rb",1
"robert",1
"rod",1
"saltonstall",1
"sand",1
"scordino",1
"seafoods",1
"shute",1
"simmons",1
"st3",1
"sutherland",1
"thomason",1
"trnka",1
"univ",1
"vandaele",1
"wdfw",1
"wildlife",1
