"Family","Count"
"salmonidae",369
"cyprinidae",79
"centrarchidae",77
"percidae",57
"cottidae",38
"gasterosteidae",35
"pleuronectidae",35
"gadidae",27
"catostomidae",26
"sebastidae",19
"clupeidae",16
"ictaluridae",15
"percopsidae",12
"hexagrammidae",10
"paralichthyidae",10
"rajidae",7
"embiotocidae",6
"sciaenidae",5
"squalidae",5
"bathylagidae",4
"batrachoididae",4
"esocidae",4
"osmeridae",4
"chimaeridae",3
"stomiidae",3
"anoplopomatidae",2
"cichlidae",2
"engraulidae",2
"lepisosteidae",2
"psychrolutidae",2
"stromateidae",2
"synodontidae",2
"zoarcidae",2
"agonidae",1
"ammodytidae",1
"arhynchobatidae",1
"belonidae",1
"bramidae",1
"callichthyidae",1
"doradidae",1
"hiodontidae",1
"lamnidae",1
"merlucciidae",1
"molidae",1
"moronidae",1
"polyodontidae",1
"rhinopteridae",1
"scorpaenidae",1
"tetraodontidae",1
