"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"dry skeleton","uwfc","skeleton collection","uw 118347","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118142","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118423","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118232","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118122","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118263","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118441","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118321","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118431","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118364","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118419","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118116","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118379","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118260","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118273","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118199","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118326","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118204","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118186","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118115","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118114","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118185","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118290","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118355","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118107","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118341","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118300","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118123","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118307","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118330","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118146","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118393","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118311","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118366","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118424","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118178","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118126","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118276","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118409","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118304","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118402","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118173","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118298","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118385","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118392","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118282","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118238","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118245","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118357","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118293","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118391","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118106","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118426","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118261","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118200","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118422","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118108","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118440","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118316","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118339","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118322","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118394","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118195","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118291","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118320","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118177","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118383","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118143","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118255","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118129","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118105","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118375","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118331","Skeleton","","",NA,NA,NA,1
