"dwc.preparations","freq"
"70% alcohol",51088
"70% ETHANOL",48338
"3% FORMALIN",25028
"70% ETHANOL/ SMALL JAR",13921
"70% ETHANOL/ SMALL JAR, tissue",2372
"",1223
"95% ETHANOL/ SMALL JAR, tissue",820
"DRY/ BONES",566
"70% ETHANOL/ GALLON JAR",483
"GOOD: 70% ETHANOL",381
"dry skeleton",345
"70% ETHANOL/ 1/2 GALLON JAR",321
"95% ETHANOL/ VIAL, tissue",298
"70% ETHANOL/ GALLON JAR, tissue",236
"70% ETHANOL/ HALF GALLON JAR",139
"70% ETHANOL/ 1 GALLON JAR",136
"70% ETHANOL; LARGE JAR",121
"70% ETHANOL/ HALF GALLON JAR, tissue",121
"70% ETHANOL/ SHARK TANK",102
"70% ETHANOL/ 1/2 GALLON JAR, tissue",84
"70% ETHANOL/ OVERSIZED JAR",73
"95% ETHANOL, tissue",70
"tissue",67
"95% ETHANOL/ VIAL , tissue",66
"70% ETHANOL/ SHARK TANK, tissue",60
"70% ETHANOL/ 2 1/2 GALLON JAR",57
"GLYCEROL",54
"70% ETHANOL/ TANK 58, tissue",51
"70% ETHANOL/ IN BUCKET WITH JAY, tissue",50
"70% ETHANOL/ SMALL JAR , tissue",50
"70% ETHANOL/ TANK 38",47
"dry",47
"70% ETHANOL/ TANK 39",45
"PHOTO AND TISSUE ONLY, tissue",45
"GOOD/70% ETHANOL; LARGE JAR",44
"70 % ETHANOL/ SMALL JAR",43
"3%FORMALIN",40
"7O% ETOH",40
"70% ETHANOL/ TANK 43",39
"70% ETHANOL/ TANK 12",37
"70% ETHANOL/ TANK 40",37
"70% ETOH+",37
"70% ETHANOL, tissue",36
"95% ETHANOL/ TISSUE COLLECTION, tissue",36
"70% ETHANOL/ BLUE BARREL 5",33
"70% ETHANOL/ TANK 55, tissue",32
"70% ETHANOL/ TANK 66, tissue",32
"GLYCERIN",32
"70% ETHANOL/ HALF-GALLON JAR, tissue",31
"C & S",31
"70% ETHANOL/ TANK 31",30
"70% ETHANOL/ TANK 41",30
"70% ETHANOL/ AGRIBIN 4",29
"70% ETHANOL/ BARREL 2",28
"70% ETOH-T",24
"95% ETHANOL/ VIAL/ HALF GALLON JAR, tissue",24
"70% ETHANOL/ TANK 15",23
"70% ETHANOL/ TANK 47",23
"cleared and stained",23
"100% GLYCERIN",22
"70% ETHANOL/ 1 GALLON JAR, tissue",22
"70% ETHANOL/ TANK 68, tissue",22
"skeleton",22
"70 % ETHANOL/ TANK 33",21
"70% ETHANOL/ SKATE TANK",21
"70% ETHANOL/ TANK 32",21
"70% ETHANOL/ TANK 42",21
"95% ETHANOL/ VIAL",21
"TANK 262-B",21
"70% ETHANOL/ BARREL 1",20
"70% ETHANOL/ TANK 45",20
"70% ETHANOL/ TANK 53",20
"70% ETHANOL/ TANK 68",20
"GOOD/70% ETHANOL; MISSING*",20
"70 % ETHANOL/ TANK 35",19
"70% ETHANOL/ HALF GALLON, tissue",19
"70% ETHANOL/ SS-TANK # 46",19
"70% ETHANOL/ TANK 37",19
"70 % ETHANOL/ GALLON JAR",18
"70% ETHANOL / HALF GALLON JAR",18
"70% ETHANOL/ TANK 56, tissue",18
"70% ETHANOL/ TANK 70, tissue",18
"70% ETHANOL/ TANK 56",17
"70% ETHANOL/ TANK 69, tissue",17
"70% ETHANOL/ 4 OZ. JAR",16
"70% ETHANOL/ HALF GALLON",16
"70% ETHANOL/ TANK # 67, tissue",16
"70% ETHANOL/ TANK #48",16
"70% ETHANOL/ TANK 26",16
"70% ETHANOL/ TANK 36",16
"70% ETHANOL/ TANK 52",16
"70% ETHANOL/ TANK 55",16
"70% ETHANOL/ TANK 66",16
"70% ETHANOL; SMALL JAR",15
"70% ETHANOL/ HALF-GALLON JAR",15
"70% ETHANOL/ TANK 53, tissue",15
"70% ETHANOL/ TANK 54",15
"70 % ETHANOL/ ALIZARIN STAINED",14
"70% ETHANOL/ 2 GALLON JARS",14
"70% ETHANOL/ LARGE JAR",14
"70% ETHANOL/ TANK 27",14
"70% ETHANOL/ TANK 46",14
"70% ETHANOL/ TANK 65, tissue",14
"70% ETHANOL/ TANK 48, tissue",13
"70% ETHANOL/ TANK 49",13
"70% ETHANOL/ TANK 59",13
"70% ETHANOL/ TANK 62, tissue",13
"TANK 262-D",13
"70 % ETHANOL/ TANK 32",12
"70 % ETHANOL/ TANK 62",12
"70% ETHANOL/ TANK 30",12
"70% ETHANOL/ TANK 49, tissue",12
"70% ETHANOL/ TANK 57",12
"70% ETHANOL/ TANK 58",12
"70% ETHANOL/ TANK 67, tissue",12
"8",12
"95% ETHANOL/ SMALL JAR",12
"95% ETHANOL/SMALL VIAL, tissue",12
"DISCARDED- ROTTEN, tissue",12
"32",11
"50% ISOPROPYL",11
"70% ETHANOL/  TANK 68",11
"70% ETHANOL/ 2.5 GALLON JAR",11
"70% ETHANOL/ SS-TANK # 47",11
"70% ETHANOL/ TANK 24",11
"70% ETHANOL/ TANK 59, tissue",11
"70% ETHANOL/ TANK 64",11
"DRY JAR",11
"1/2 IN 95% ETOH, 1/2 IN 70% ETOH/ 2 SMALL JARS, tissue",10
"100% GLYCERIN/ SMALL JAR",10
"70% ETHANOL/ SS-TANK # 45",10
"70% ETHANOL/ TANK #47",10
"70% ETHANOL/ TANK 44",10
"70% ETHANOL/ TANK 51",10
"70% ETHANOL/ TANK 61",10
"70% ETHANOL/ TANK 7",10
"95 % ETHANOL/ SMALL JAR, tissue",10
"95% ETHANOL/ TISSUES ONLY, tissue",10
"TANK 262-A",10
"TANK 362-A",10
"5% formalin",9
"64",9
"70 % ETHANOL/ TANK 34",9
"70% ETHANOL/  HALF GALLON JAR",9
"70% ETHANOL/ TANK 62",9
"70% ETOH & GLYCERIN",9
"70% ETOH-X",9
"16",8
"70% ETHANOL/ SKATE TANK, tissue",8
"70% ETHANOL/ TANK 52, tissue",8
"70% ETOH/ 100% GLYCERIN",8
"FAIR*; 70% ETHANOL",8
"GOOD, DISSECTED*; 70% ETOH",8
"GOOD; DISSECTED*/70% ETHANOL",8
"MISSING, 1995",8
"70% ETHANOL/ ONE GALLON JAR, tissue",7
"70% ETHANOL/ TANK 14",7
"70% ETHANOL/ TANK 20",7
"70% ETHANOL/ TANK 29, tissue",7
"70% ETHANOL/ TANK 51, tissue",7
"70% ETHANOL/ TANK 63",7
"95% ETOH, tissue",7
"DRIED/ SMALL JAR, tissue",7
"GOOD, DISSECTED*; 70% ETHANOL",7
"1 - 70% ETHANOL; 1 - GLYCERIN",6
"70% ETHANOL/ 2 SMALL JARS",6
"70% ETHANOL/ HALF-GAL JAR",6
"70% ETHANOL/ LARGE GLASS BUCKET, tissue",6
"70% ETHANOL/ TANK 26, tissue",6
"70% ETHANOL/ TANK 35",6
"70% ETHANOL/ TANK 50",6
"70% ETHANOL/ TANK 54, tissue",6
"70% ETHANOL/ TANK 57, tissue",6
"95% ETHANOL/ SMALL VIAL, tissue",6
"GIFT TO ERIC HILTON, tissue",6
"GIFT TO NMFS/AFSC OBSERVER TEACHING COLLECTION",6
"GOOD, DAMAGED*; 70% ETHANOL",6
"GOOD/70% ETHANOL",6
"TANK 188-A",6
"70 % ETHANOL/ 1/2 GALLON JAR",5
"70% ETHANOL; 1 GLYCEROL",5
"70% ETHANOL/ 1/2 GAL. JAR",5
"70% ETHANOL/ 1/2 GALLON, tissue",5
"70% ETHANOL/ 2- 1 GALLON JARS",5
"70% ETHANOL/ 5 GALLON JAR",5
"70% ETHANOL/ 8 OZ. JAR",5
"70% ETHANOL/ BLUE BARREL 3, tissue",5
"70% ETHANOL/ SS-TANK # 49",5
"70% ETHANOL/ TANK #53",5
"70% ETHANOL/ TANK #67, tissue",5
"70% ETHANOL/ TANK 11",5
"70% ETHANOL/ TANK 19",5
"70% ETHANOL/ TANK 28",5
"70% ETHANOL/ TANK 34",5
"70% ETHANOL/ TANK 48",5
"70% ETHANOL/ TANK 50, tissue",5
"70% ETHANOL/ TANK 61, tissue",5
"70% ETHANOL/ TANK L2-A",5
"FAIR, DAMAGED*; 70% ETHANOL",5
"FTR BLDG.",5
"GLYCEROL/ C&S",5
"GOOD/70% ETHANOL; 1 MISSING",5
"TANK 21",5
"TANK 262-E",5
"TANK 262-F",5
"TANK 276-A",5
"TANK 276-B",5
"TISSUE SAMPLE IN BRINE, tissue",5
"70 % ETHANOL/ HALF GALLON JAR",4
"70% AND 95% ETHANOL/ SMALL JAR, tissue",4
"70% ETHANOL AND 95% ETHANOL/ 2 JARS, tissue",4
"70% ETHANOL/ (2) 1 GALLON JARS",4
"70% ETHANOL/ 1/2 GALLON",4
"70% ETHANOL/ AGRI-BIN 4",4
"70% ETHANOL/ SMALL JAR (N=5 IN 95% ETHANOL), tissue",4
"70% ETHANOL/ TANK 10, tissue",4
"70% ETHANOL/ TANK 2",4
"70% ETHANOL/ TANK 25, tissue",4
"70% ETHANOL/ TANK 29",4
"70% ETHANOL/ TANK 4",4
"70% ETHANOL/ TANK 5",4
"7O% ETHANOL/ TANK 61",4
"95 % ETHANOL, tissue",4
"95% ETHANOL/ HALF GALLON JAR, tissue",4
"DESICCATED/DRY JAR",4
"GIFT TO STANFORD UNIVERSITY",4
"GLYCERIN/ SMALL JAR",4
"GLYCEROL/ SMALL JAR",4
"GOOD/70% ETHANOL; 1 MISSING*",4
"GOOD/70% ETHANOL; MIXED LOT*",4
"GOOD/70% ETHANOL; TANK 262-A",4
"TANK 24",4
"TANK 262-C",4
"TANK 279-A",4
"2 SMALL JARS/ 1 70% ETHANOL/ 1 95% ETHANOL, tissue",3
"70% ETHANOL; 100% GLYCERIN",3
"70% ETHANOL; 3 95% ETHANOL, tissue",3
"70% ETHANOL; 8 0Z. JAR",3
"70% ETHANOL; TANK 18",3
"70% ETHANOL; TANKED IN ""BUCKET A""",3
"70% ETHANOL; TANKED IN ""BUCKET B""",3
"70% ETHANOL/",3
"70% ETHANOL/ 1/2 GALLON SQUAT JAR",3
"70% ETHANOL/ 2 GALLON JARS, tissue",3
"70% ETHANOL/ 2 SMALL JARS, tissue",3
"70% ETHANOL/ AGRI-TANK 1",3
"70% ETHANOL/ HALF-GAL JAR, tissue",3
"70% ETHANOL/ SHORT 1/2 GALLON JAR",3
"70% ETHANOL/ SMALL JAR (5 C&S)",3
"70% ETHANOL/ SMALL JAR (6 C&S), tissue",3
"70% ETHANOL/ TANK # 49",3
"70% ETHANOL/ TANK 15, tissue",3
"70% ETHANOL/ TANK 17",3
"70% ETHANOL/ TANK 18",3
"70% ETHANOL/ TANK 23",3
"70% ETHANOL/ TANK 27, tissue",3
"70% ETHANOL/ TANK 44, tissue",3
"70% ETHANOL/ TANK 6",3
"70% ETHANOL/ TANK 63, tissue",3
"70% ETHANOL/ TANK 8",3
"70% ETHANOL/ TANK 9",3
"70% ETHANOL/SMALL JAR",3
"70% ETOH + C&S",3
"7O% ETOH-T",3
"95% ETHANOL/ TISSUE VIAL, tissue",3
"95% ETHANOL/ VIALS, tissue",3
"BARREL, tissue",3
"DRIED/ HALF GALLON JAR, tissue",3
"DRY SKELETONS",3
"FAIR; 70% ETHANOL",3
"GOOD, ABNORMAL*: 70% ETHANOL",3
"GOOD, VENTRAL SLIT: 70% ETHANOL",3
"GOOD; GLYCERINE",3
"GOOD/70% ETHANOL; LARGE JAR; 1 MISSING*",3
"GOOD/70% ETHANOL; TANK 262-C",3
"GOOD/70% ETHANOL; TANKED B1-3",3
"GOOD/95% ETHANOL; UNFIXED, tissue",3
"head",3
"LARGE JAR",3
"NON-FORMALIN FIXED--STORED IN 70% ETHANOL, tissue",3
"POOR; 70% ETHANOL",3
"STAINLESS STEEL TANK #??",3
"STORED ONLY IN 95% ETOH/ SMALL JAR, tissue",3
"TANK 16-A",3
"TANK 59",3
"1 - 70% ETHANOL; 1 - DRY",2
"100% GLYCEROL/ SMALL JAR",2
"2 - 70% ETHANOL; 1 - DRY",2
"3 - 70% ETHANOL; 1 - DRY",2
"4 - 70% ETHANOL; 1 - DRY",2
"70 % ETHANOL/ 2 1/2 GALLON JAR",2
"70% ETHANOL; 2 95% ETHANOL, tissue",2
"70% ETHANOL; 2 GLYCEROL",2
"70% ETHANOL; 3 GLYCEROL",2
"70% ETHANOL; 4 OZ. JAR",2
"70% ETHANOL; GALLON JAR",2
"70% ETHANOL; N=1 GLYCEROL",2
"70% ETHANOL; TANKED IN ""BUCKET D""",2
"70% ETHANOL/  HALF GALLON JAR, tissue",2
"70% ETHANOL/  SMALL JAR",2
"70% ETHANOL/ 1 C&S",2
"70% ETHANOL/ 1- 2 1/2 GALLON JAR",2
"70% ETHANOL/ 2 1 GALLON JARS",2
"70% ETHANOL/ 2 1-GALLON JARS",2
"70% ETHANOL/ 2 GALLON JAR",2
"70% ETHANOL/ 2- GALLON JARS",2
"70% ETHANOL/ 3 GALLON JAR",2
"70% ETHANOL/ GALLON JAR AND TANK 65",2
"70% ETHANOL/ IN BUCKET",2
"70% ETHANOL/ INVOICE #2002-045",2
"70% ETHANOL/ N=3 C&S",2
"70% ETHANOL/ OVERSIZE JAR",2
"70% ETHANOL/ OVERSIZED JAR ON BOTTOM SHELF",2
"70% ETHANOL/ OVERSIZED JAR, tissue",2
"70% ETHANOL/ SMALL JAR (10 C&S)",2
"70% ETHANOL/ SMALL JAR (N=10 IN 95% ETHANOL), tissue",2
"70% ETHANOL/ SMALL JAR AND GALLON JAR, tissue",2
"70% ETHANOL/ SMALL JAR, N=4 IN 95% ETOH, tissue",2
"70% ETHANOL/ SMALL JAR/ GLYCERIN",2
"70% ETHANOL/ SQUAT 1/2 GALLON JAR",2
"70% ETHANOL/ STAINLESS STEEL TANK # 28",2
"70% ETHANOL/ TANK # 67",2
"70% ETHANOL/ TANK #23",2
"70% ETHANOL/ TANK #48, tissue",2
"70% ETHANOL/ TANK #49",2
"70% ETHANOL/ TANK #65",2
"70% ETHANOL/ TANK 1",2
"70% ETHANOL/ TANK 13",2
"70% ETHANOL/ TANK 14, tissue",2
"70% ETHANOL/ TANK 33",2
"70% ETHANOL/ TANK 37, GALLON JAR",2
"70% ETHANOL/ TANK 46, tissue",2
"70% ETHANOL/ TANK 65",2
"70% ETHANOL/ TANK 67",2
"70% ETHANOL/, tissue",2
