"Family","Count"
"pleuronectidae",27960
"gadidae",20552
"cottidae",11516
"myctophidae",7990
"",7794
"ammodytidae",7599
"sebastidae",6540
"hexagrammidae",6023
"bathylagidae",3584
"stichaeidae",3237
"liparidae",3226
"osmeridae",3053
"agonidae",2968
"salmonidae",2773
"cyprinidae",2203
"bathymasteridae",1649
"zoarcidae",1608
"cryptacanthodidae",1371
"labridae",1132
"stomiidae",1050
"gasterosteidae",1000
"trachipteridae",832
"arhynchobatidae",807
"cyclopteridae",785
"anoplopomatidae",775
"psychrolutidae",724
"percidae",714
"pomacentridae",701
"paralichthyidae",686
"disintegrated",674
"pholidae",662
"zaproridae",627
"centrolophidae",620
"gobiidae",600
"embiotocidae",537
"centrarchidae",527
"serranidae",515
"scomberesocidae",492
"catostomidae",491
"clupeidae",470
"hemitripteridae",452
"acanthuridae",447
"apogonidae",423
"holocentridae",407
"chaetodontidae",356
"icosteidae",324
"macrouridae",315
"scaridae",285
"engraulidae",284
"petromyzontidae",274
"merlucciidae",259
"blenniidae",249
"muraenidae",240
"teleost",235
"mullidae",216
"antennariidae",214
"melamphaidae",213
"carangidae",212
"oneirodidae",199
"rajidae",198
"paralepididae",196
"syngnathidae",196
"gonostomatidae",174
"lutjanidae",171
"scorpaenidae",171
"umbridae",148
"ictaluridae",147
"aulorhynchidae",144
"tetraodontidae",139
"trichodontidae",139
"microstomatidae",136
"synodontidae",130
"batrachoididae",129
"albulidae",120
"lethrinidae",119
"gobiesocidae",117
"moridae",111
"sternoptychidae",110
"balistidae",105
"nemichthyidae",104
"hemiramphidae",103
"scyliorhinidae",93
"chimaeridae",91
"mugilidae",87
"monacanthidae",82
"bythitidae",77
"scombridae",77
"ophichthidae",76
"pinguipedidae",76
"scopelarchidae",76
"somniosidae",74
"pomacanthidae",72
"nemipteridae",71
"alepocephalidae",68
"poeciliidae",68
"platytroctidae",66
"anarhichadidae",65
"fundulidae",63
"atherinidae",62
"sciaenidae",62
"bothidae",56
"exocoetidae",54
"rhamphocottidae",53
"anoplogastridae",49
"chiasmodontidae",49
"opisthoproctidae",49
"oreosomatidae",49
"ptilichthyidae",48
"siganidae",45
"gerreidae",44
"squalidae",43
"platycephalidae",42
"stromateidae",42
"terapontidae",42
"tetragonuridae",42
"notosudidae",41
"phosichthyidae",41
"ophidiidae",39
"trichiuridae",39
"uranoscopidae",39
"atherinopsidae",38
"ceratiidae",38
"cirrhitidae",37
"haemulidae",37
"unidentified",37
"kuhliidae",36
"leiognathidae",36
"moringuidae",36
"myxinidae",36
"percopsidae",36
"sphyraenidae",36
"alepisauridae",33
"caesionidae",33
"ostraciidae",31
"triglidae",30
"pseudochromidae",28
"bramidae",27
"gigantactinidae",27
"caristiidae",26
"cobitidae",26
"fistulariidae",26
"anotopteridae",25
"congridae",25
"kyphosidae",25
"plesiopidae",25
"esocidae",24
"ogcocephalidae",24
"acipenseridae",23
"priacanthidae",23
"belonidae",22
"eleotridae",22
"lottiidae",22
"clinidae",21
"zanclidae",21
"hypoptychidae",20
"sparidae",20
"callionymidae",19
"cichlidae",19
"cynoglossidae",19
"gempylidae",19
"melanocetidae",18
"bregmacerotidae",17
"carcharhinidae",17
"synanceiidae",17
"achiridae",16
"howellidae",16
"linophrynidae",16
"diodontidae",15
"nototheniidae",15
"osphronemidae",15
"echeneidae",14
"labrisomidae",14
"lophiidae",14
"melanonidae",14
"misc. fish egg",14
"pegasidae",14
"polynemidae",14
"soleidae",14
"serrivomeridae",13
"sillaginidae",13
"aulostomidae",12
"neoscopelidae",12
"nomeidae",12
"pempheridae",12
"ambassidae",11
"anguillidae",11
"himantolophidae",11
"molidae",11
"osteoglossidae",11
"tripterygiidae",11
"ariidae",10
"chanidae",10
"chaunacidae",10
"lamnidae",10
"torpedinidae",10
"characidae",9
"cyprinodontidae",9
"elopidae",9
"notacanthidae",9
"brachionichthyidae",8
"centriscidae",8
"hexanchidae",8
"moronidae",8
"pentacerotidae",8
"plotosidae",8
"tetrabrachiidae",8
"tetrarogidae",8
"triakidae",8
"evermannellidae",7
"istiophoridae",7
"scophthalmidae",7
"barbourisiidae",6
"chirocentridae",6
"dussumieriidae",6
"eurypharyngidae",6
"omosudidae",6
"plecoglossidae",6
"scytalinidae",6
"aphredoderidae",5
"argentinidae",5
"caulophrynidae",5
"chaenopsidae",5
"colocongridae",5
"cyclopterinidae",5
"dactylopteridae",5
"dalatiidae",5
"dasyatidae",5
"goodeidae",5
"megalopidae",5
"polyodontidae",5
"toxotidae",5
"acropomatidae",4
"carapidae",4
"cetomimidae",4
"channidae",4
"coryphaenidae",4
"diretmidae",4
"drepaneidae",4
"ephippidae",4
"lampridae",4
"lepisosteidae",4
"malacanthidae",4
"myliobatidae",4
"nettastomatidae",4
"phallostethidae",4
"phycidae",4
"pristigasteridae",4
"protopteridae",4
"psettodidae",4
"scatophagidae",4
"stylephoridae",4
"thaumatichthyidae",4
"amiidae",3
"anabantidae",3
"callichthyidae",3
"centrophrynidae",3
"champsodontidae",3
"citharidae",3
"diceratiidae",3
"etmopteridae",3
"lactariidae",3
"microdesmidae",3
"monodactylidae",3
"muraenolepididae",3
"peristediidae",3
"pomatomidae",3
"rondeletiidae",3
"salangidae",3
"samaridae",3
"serrasalmidae",3
"zenarchopteridae",3
"anomalopidae",2
"artedidraconidae",2
"balitoridae",2
"bathydraconidae",2
"centrogenyidae",2
"cetorhinidae",2
"chlopsidae",2
"clariidae",2
"creediidae",2
"cyematidae",2
"elassomatidae",2
"gasteropelecidae",2
"geotriidae",2
"halosauridae",2
"hemiscylliidae",2
"heterodontidae",2
"hiodontidae",2
"latiidae",2
"monocentridae",2
"muraenesocidae",2
"odontobutidae",2
"opistognathidae",2
"oplegnathidae",2
"percichthyidae",2
"polypteridae",2
"potamotrygonidae",2
"rachycentridae",2
"rhinobatidae",2
"saccopharyngidae",2
"siluridae",2
"sphyrnidae",2
"squatinidae",2
"symphysanodontidae",2
"synaphobranchidae",2
"trachichthyidae",2
"zeidae",2
"zenionidae",2
"alopiidae",1
"amblyopsidae",1
"anablepidae",1
"aploactinidae",1
"ariommatidae",1
"bedotiidae",1
"bovichtidae",1
"callorhinchidae",1
"centrophoridae",1
"centropomidae",1
"cepolidae",1
"channichthyidae",1
"cheimarrichthyidae",1
"dactyloscopidae",1
"doradidae",1
"enoplosidae",1
"erythrinidae",1
"galaxiidae",1
"giganturidae",1
"ginglymostomatidae",1
"gymnotidae",1
"harpagiferidae",1
"helostomatidae",1
"indostomidae",1
"lateolabracidae",1
"lepidogalaxiidae",1
"leptobramidae",1
"leptoscopidae",1
"lobotidae",1
"lophichthyidae",1
"lophotidae",1
"loricariidae",1
"mastacembelidae",1
"melanotaeniidae",1
"nematistiidae",1
"noctuidae",1
"orectolobidae",1
"percophidae",1
"pholidichthyidae",1
"pimelodidae",1
"polycentridae",1
"prochilodontidae",1
"pseudaphritidae",1
"retropinnidae",1
"rhyacichthyidae",1
"stegostomatidae",1
"sternopygidae",1
"synbranchidae",1
"triacanthidae",1
"triacanthodidae",1
"trichomycteridae",1
"trichonotidae",1
"triodontidae",1
"urolophidae",1
"urotrygonidae",1
"xiphiidae",1
