"dwc.scientificName","freq"
"Theragra chalcogramma",16435
"Hippoglossoides elassodon",8763
"",7745
"Ammodytes hexapterus",7523
"Stenobrachius leucopsarus",4346
"Sebastes",3915
"Gadus macrocephalus",3203
"Hexagrammos decagrammus",3000
"Lepidopsetta polyxystra",2821
"Glyptocephalus zachirus",2584
"Mallotus villosus",2549
"Microstomus pacificus",2025
"Atheresthes stomias",1740
"Leuroglossus schmidti",1715
"Platichthys stellatus",1453
"Cryptacanthodes aleutensis",1300
"Pleuronectes quadrituberculatus",1266
"Hemilepidotus hemilepidotus",1201
"Bathyagonus alascanus",1190
"Lepidopsetta bilineata",1137
"Hippoglossus stenolepis",1134
"Bathylagus pacificus",941
"Bathymaster",939
"Tarletonbeania crenularis",844
"Protomyctophum thompsoni",833
"Trachipterus altivelis",822
"Pleuronectidae",813
"Hemilepidotus",799
"Hexagrammos stelleri",779
"Anoplopoma fimbria",769
"Hexagrammos lagocephalus",748
"Artedius harringtoni",697
"Disintegrated",674
"Lyopsetta exilis",644
"Gasterosteus aculeatus",636
"Zaprora silenus",626
"Icichthys lockingtoni",616
"Chauliodus macouni",615
"Lumpenus maculatus",605
"Hexagrammos octogrammus",575
"Radulinus asprellus",548
"Bathylagus ochotensis",533
"Cololabis saira",492
"Ronquilus jordani",482
"Poroclinus rothrocki",461
"Reinhardtius hippoglossoides",445
"Liparis fucensis",441
"Parophrys vetula",438
"Podothecus accipenserinus",437
"Diaphus theta",417
"Cottus rhotheus",395
"Pleurogrammus monopterygius",385
"Lumpenus sagitta",374
"Oncorhynchus kisutch",372
"Isopsetta isolepis",347
"Protomyctophum crockeri",343
"Psettichthys melanostictus",339
"Ruscarius meanyi",339
"Icosteus aenigmaticus",324
"Oncorhynchus mykiss",324
"Parophrys vetulus",324
"Oncorhynchus tshawytscha",320
"Gadidae",318
"Oncorhynchus nerka",318
"Cottus asper",310
"Cymatogaster aggregata",306
"Leptocottus armatus",298
"Scorpaenichthys marmoratus",296
"Triglops pingelii",288
"Clupea pallasii pallasii",285
"Hemilepidotus jordani",281
"Hemilepidotus spinosus",279
"Microgadus proximus",276
"Rhinichthys osculus",275
"Cottus aleuticus",271
"Cottus gulosus",266
"Anoplarchus",262
"Myoxocephalus polyacanthocephalus",258
"Bathyagonus infraspinatus",257
"Myoxocephalus",256
"Careproctus rastrinus",254
"Merluccius productus",251
"Salvelinus malma",247
"Limanda aspera",246
"Bathylagus",241
"Liparis gibbus",240
"Engraulis mordax",239
"Eumicrotremus orbis",238
"Citharichthys",237
"Hexagrammos",235
"Teleost",235
"Bathyraja parmifera",224
"Richardsonius balteatus",224
"Stenobrachius",224
"Boreogadus saida",220
"Rhinichthys cataractae",220
"Tactostoma macropus",219
"Lumpenella longirostris",218
"Icelinus",217
"Citharichthys stigmaeus",214
"Dasycottus setiger",214
"Pholis laeta",213
"Icelinus borealis",211
"Ophiodon elongatus",200
"Embassichthys bathybius",197
"Oligocottus maculosus",197
"Bathyraja interrupta",195
"Oncorhynchus clarkii",191
"Citharichthys sordidus",188
"Anoplarchus purpurescens",181
"Ptychocheilus oregonensis",175
"Sebastes caurinus",173
"Artedius fenestralis",168
"Chitonotus pugetensis",167
"Malacocottus zonurus",166
"Psychrolutes paradoxus",164
"Bathymaster signatus",163
"Lycodes pacificus",160
"Sebastes aleutianus",159
"Atheresthes",157
"Enophrys bison",157
"Liparis",155
"Lepidopsetta",154
"Cottus perplexus",150
