"Continent","Count"
"usa",134284
"mhl",4542
"can",1901
"phl",1586
"slb",469
"jpn",369
"aus",179
"fsm",140
"pan",121
"mex",112
"ncl",112
"kwt",103
"mnp",93
"idn",74
"kir",47
"mdv",38
"vut",33
"ata",32
"ita",29
"umi",27
"png",26
"twn",25
"hnd",24
"zaf",23
"dnk",21
"pak",19
"fji",17
"kor",17
"tha",17
"blz",14
"ken",14
"bhs",13
"bra",12
"ecu",12
"gbr",9
"nor",8
"nzl",8
"ago",7
"arg",7
"mng",7
"nld",7
"asm",6
"chn",6
"aut",5
"bmu",5
"ind",5
"syc",5
"guy",4
"lka",4
"mys",4
"per",4
"ven",4
"cri",3
"dza",3
"pyf",3
"som",3
"swe",3
"col",2
"cub",2
"fra",2
"gtm",2
"mus",2
"omn",2
"sur",2
"chl",1
"cok",1
"com",1
"esp",1
"hun",1
"irl",1
"isr",1
"jam",1
"jor",1
"lby",1
"mmr",1
"nic",1
"pri",1
"sau",1
"ton",1
