"dwc.scientificName","freq"
"Cyprinella spiloptera",359
"Lepomis macrochirus",328
"Perca flavescens",263
"Notropis atherinoides",225
"Cottus bairdii",211
"Notropis hudsonius",204
"Notropis stramineus",181
"Notropis dorsalis",177
"Notropis blennius",171
"Lepomis cyanellus",168
"Lepomis gibbosus",162
"Notropis volucellus",135
"Cyprinus carpio",134
"Esox lucius",133
"Noturus gyrinus",130
"Lepomis humilis",117
"Morone chrysops",113
"Phoxinus erythrogaster",101
"Cottus cognatus",99
"Notropis wickliffi",82
"Notropis heterolepis",79
"Phoxinus eos",67
"Notropis rubellus",65
"Phenacobius mirabilis",63
"Notropis heterodon",55
"Esox americanus",49
"Noturus flavus",48
"Notropis percobromus",38
"Notropis nubilus",36
"Lepomis megalotis",35
"Salmo trutta",35
"Lepomis gulosus",33
"Notropis texanus",30
"Phoxinus neogaeus",30
"Esox masquinongy",28
"Lepisosteus osseus",28
"Notropis anogenus",24
"Carassius auratus",22
"Neogobius melanostomus",21
"Noturus exilis",18
"Oncorhynchus kisutch",15
"Petromyzon marinus",15
"Oncorhynchus mykiss",14
"Alosa pseudoharengus",13
"Morone mississippiensis",13
"Osmerus mordax",13
"Gambusia affinis",12
"Cottus carolinae",11
"Oncorhynchus gorbuscha",11
"Oncorhynchus keta",10
"Cyprinella lutrensis",8
"Oncorhynchus nerka",8
"Alosa chrysochloris",7
"Chrosomus eos",7
"Lepomis",7
"Cottus ricei",6
"Lepisosteus platostomus",6
"Morone americana",6
"Notropis buchanani",6
"Cottus aleuticus",5
"Cottus rhotheus",5
"Gambusia holbrooki",5
"Gymnocephalus cernuus",5
"Oncorhynchus",5
"Chrosomus erythrogaster",4
"Lepomis auritus",4
"Proterorhinus marmoratus",4
"Scardinius erythrophthalmus",4
"Cottus hypselurus",3
"Cyprinella callistia",3
"Cyprinella venusta",3
"Enneacanthus gloriosus",3
"Notropis chalybaeus",3
"Notropis stilbius",3
"Alosa aestivalis",2
"Chrosomus neogaeus",2
"Cottus asper",2
"Cottus perplexus",2
"Cyprinella analostana",2
"Cyprinella caerulea",2
"Cyprinella camura",2
"Cyprinella trichroistia",2
"Cyprinella whipplei",2
"Hypophthalmichthys nobilis",2
"Notropis longirostris",2
"Notropis telescopus",2
"Noturus miurus",2
"Oncorhynchus tshawytscha",2
"Phenacobius catostomus",2
"Phoxinus",2
"Salmo salar",2
"Apeltes quadracus",1
"Cottus girardi",1
"Esox niger",1
"Hypophthalmichthys molitrix",1
"Lepomis microlophus",1
"Lepomis punctatus",1
"Morone saxatilis",1
"Notropis",1
"Notropis baileyi",1
"Notropis buccatus",1
"Notropis chiliticus",1
"Notropis greenei",1
"Notropis hypsinotus",1
"Notropis maculatus",1
"Notropis scabriceps",1
"Notropis shumardi",1
"Notropis topeka",1
"Notropis xaenocephalus",1
"Noturus",1
"Noturus insignis",1
"Phenacobius teretulus",1
"Phenacobius uranops",1
"Phoxinus oreas",1
