"dwc.scientificName","freq"
"Agosia chrysogaster",53
"Catostomus insignis",50
"Catostomus clarki",31
"Meda fulgida",31
"Rhinichthys cobitis",24
"Gambusia affinis",22
"Cyprinella lutrensis",13
"Cyprinus carpio",12
"Lepomis cyanellus",12
"Micropterus dolomieui",12
"Ameiurus natalis",10
"Pylodictis olivaris",9
"Rhinichthys osculus",9
"Lepomis macrochirus",7
"Catostomus commersoni",6
"Ictalurus punctatus",6
"Pimephales promelas",6
"Oncorhynchus mykiss",5
"Campostoma anomalum",4
"Catostomus plebeius",4
"Semotilus atromaculatus",4
"Ameiurus melas",3
"Micropterus punctulatus",3
"Micropterus salmoides",3
"Rhinichthys x Gila",3
"Etheostoma nigrum",2
"Gila robusta",2
"Pomoxis nigromaculatus",2
"Atractosteus spatula",1
"Carassius auratus",1
"Catostomus catostomus",1
"Catostomus sp.",1
"Clinostomus funduloides",1
"Culaea inconstans",1
"Esox niger",1
"Etheostoma vitreum",1
"Gila nigrescens",1
"Gila pandora",1
"Ictalurus platycephalus",1
"Lepomis auritus",1
"Moxostoma anisurum",1
"Moxostoma cervinum",1
"Nocomis leptocephalus",1
"Notemigonus crysoleucas",1
"Notropis albeolus",1
"Notropis analostanus",1
"Notropis ardens",1
"Notropis cerasinus",1
"Notropis cornutus",1
"Notropis dorsalis",1
"Notropis lutrensis",1
"Notropis procne",1
"Notropis stramineus",1
"Noturus insignis",1
"Oncorhynchus gilae",1
"Percina peltata",1
"Percina roanoka",1
"Phoxinus oreas",1
"Rhinichthys cataractae",1
