"Collector","Count"
"collector",379
"s",379
"d",219
"miller",145
"jennings",67
"randy",67
"l",54
"unknown",50
"david",44
"propst",44
"o",13
"r",13
"bestgen",12
"kevin",12
"j",11
"angell",10
"w",10
"x",10
"m",9
"anderson",8
"john",8
"p",8
"allen",6
"embick",6
"hayes",6
"heather",6
"jones",6
"mcnall",6
"barbara",5
"cornali",5
"h",5
"hardesty",5
"mcconnell",5
"song",4
"sullenberger",4
"dewell",3
"e",3
"bradley",2
"bruce",2
"charlie",2
"chintis",2
"hatch",2
"hayward",2
"hubbard",2
"jr",2
"limberger",2
"pamela",2
"t",2
"tucker",2
"corrarino",1
"dusty",1
"herman",1
"hunt",1
"jackson",1
"n",1
"packard",1
"paul",1
"smith",1
"spell",1
"uhli",1
