"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"whole organism (alcohol)","wnmu","fish specimens","80","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","285","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","257","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","238","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","136","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","159","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","203","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","240","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","156","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","290","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","71","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","150","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","70","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","58","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","28","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","247","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","228","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","60","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","170","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","362","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","272","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","314","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","50","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","297","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","331","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","16","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","304","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","227","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","181","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","291","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","190","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","300","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","312","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","335","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","78","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","91","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","323","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","315","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","85","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","358","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","2","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","151","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","322","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","180","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","130","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","10","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","295","EtOH","","",NA,NA,NA,68
