"Family","Count"
"Cyprinidae",2500
"Percidae",2356
"Cichlidae",1023
"Centrarchidae",874
"Myctophidae",827
"Fundulidae",759
"Labridae",694
"Sciaenidae",606
"Clupeidae",557
"Blenniidae",517
"Atherinidae",514
"Stomiidae",447
"Nototheniidae",439
"Carangidae",437
"Gasterosteidae",403
"Gonostomatidae",359
"Serranidae",358
"Catostomidae",354
"Cottidae",347
"Gobiidae",344
"Poeciliidae",339
"Syngnathidae",337
"Tetraodontidae",302
"Pomacentridae",299
"Exocoetidae",283
"Holocentridae",265
"Pleuronectidae",259
"Sternoptychidae",245
"Melamphaidae",229
"Monacanthidae",221
"Triglidae",220
"Channichthyidae",196
"Haemulidae",191
"Paralichthyidae",187
"Engraulidae",185
"Ictaluridae",182
"Mugilidae",181
"Cyprinodontidae",177
"Gerreidae",170
"Sparidae",170
"Characidae",169
"Amiidae",167
"Salmonidae",166
"Scorpaenidae",162
"Phycidae",156
"Apogonidae",149
"Lutjanidae",149
"Synodontidae",147
"Congridae",141
"Muraenidae",133
"Antennariidae",131
"Chaetodontidae",124
"Acanthuridae",123
"Scaridae",123
"Rajidae",120
"Belonidae",119
"Gadidae",118
"Hemiramphidae",117
"Bathydraconidae",112
"Balistidae",105
"Mullidae",105
"Macrouridae",102
"Labrisomidae",95
"Anguillidae",92
"Ophichthidae",88
"Esocidae",86
"Artedidraconidae",82
"Scombridae",78
"Stromateidae",77
"Lepisosteidae",75
"Ammodytidae",74
"Scophthalmidae",72
"Batrachoididae",68
"Paralepididae",68
"Zoarcidae",68
"Bothidae",67
"Ophidiidae",67
"Petromyzontidae",66
"Moronidae",65
"Pomacanthidae",65
"Platytroctidae",64
"Echeneidae",63
"Coryphaenidae",61
"Achiridae",59
"Nomeidae",59
"Lebiasinidae",56
"Pomatomidae",56
"Gempylidae",55
"Bathylagidae",53
"Diodontidae",53
"Cynoglossidae",51
"Ostraciidae",51
"Acropomatidae",48
"Anoplogasteridae",47
"Merlucciidae",46
"Photichthyidae",46
"Trichiuridae",46
"Polynemidae",45
"Fistulariidae",43
"Kyphosidae",43
"Chiasmodontidae",41
"Ogcocephalidae",41
"Acipenseridae",39
"Cyclopteridae",39
"Pholidae",39
"Serrivomeridae",39
"Priacanthidae",38
"Alepocephalidae",36
"Eurypharyngidae",36
"Mochokidae",36
"Nemichthyidae",36
"Sphyraenidae",36
"Synaphobranchidae",36
"Gobiesocidae",33
"Liparidae",33
"Moridae",33
"Oneirodidae",33
"Centropomidae",30
"Gasteropelecidae",30
"Melanocetidae",29
"Tripterygiidae",29
"Bagridae",28
"Bregmacerotidae",28
"Chlorophthalmidae",28
"Derichthyidae",28
"Osphronemidae",28
"Pristidae",28
"Callichthyidae",27
"Eleotridae",27
"Arriidae",26
"Lophiidae",26
"Polypteridae",26
"Mormyridae",25
"Muraenolepididae",25
"Osmeridae",25
"Carcharhinidae",24
"Ceratiidae",24
"Dactylopteridae",24
"Amblyopsidae",23
"Loricariidae",23
"Ariommatidae",22
"Opisthoproctidae",22
"Stichaeidae",22
"Trachichthyidae",22
"Agonidae",21
"Ephippidae",21
"Halosauridae",21
"Osteoglossidae",21
"Pimelodidae",21
"Scyliorhinidae",21
"Aphredoderidae",20
"Chaenopsidae",19
"Callionymidae",18
"Centrolophidae",18
"Cetomimidae",18
"Cobitidae",18
"Evermannellidae",18
"Notosudidae",18
"Caproidae",17
"Channidae",17
"Cirrhitidae",17
"Percichthyidae",17
"Rondeletiidae",17
"Triakidae",17
"Urolophidae",17
"Albulidae",16
"Bythitidae",16
"Linophrynidae",16
"Protopteridae",16
"Argentinidae",15
"Clariidae",15
"Dalatiidae",15
"Erythrinidae",15
"Hemitripteridae",15
"Ipnopidae",15
"Moringuidae",15
"Polymixiidae",15
"Scopelarchidae",15
"Alepisauridae",14
"Bramidae",14
"Dasyatidae",14
"Grammatidae",14
"Kuhliidae",14
"Malacanthidae",14
"Omosudidae",14
"Aulostomidae",13
"Chimaeridae",13
"Lethrinidae",13
"Myxinidae",13
"Ariidae",12
"Clinidae",12
"Diretmidae",12
"Mastacembelidae",12
"Percophidae",12
"Plesiopidae",12
"Siganidae",12
"Anotopteridae",11
"Cryptacanthodidae",11
"Elassomatidae",11
"Elopidae",11
"Grammicolepididae",11
"Narcinidae",11
"Pempheridae",11
"Percopsidae",11
"Rhinobatidae",11
"Soleidae",11
"Sphyrnidae",11
"Uranoscopidae",11
"Anarhichadidae",10
"Chaunacidae",10
"Citharinidae",10
"Melanonidae",10
"Schilbeidae (schilbidae)",10
"Tetragonuridae",10
"Umbridae",10
"Zeidae",10
"Aplocheilidae",9
"Heterodontidae",9
"Megalopidae",9
"Opistognathidae",9
"Pinguipedidae",9
"Scomberesocidae",9
"Squalidae",9
"Ambassidae",8
"Balitoridae",8
"Leiognathidae",8
"Macroramphosidae",8
"Nettastomatidae",8
"Xiphiidae",8
"Apteronotidae",7
"Carapidae",7
