"dwc.scientificName","freq"
"Actinopterygii",507
"Tautogolabrus adspersus",334
"Gasterosteus aculeatus",246
"Etheostoma caeruleum",216
"Pimephales notatus",208
"Campostoma anomalum",205
"Luxilus chrysocephalus",201
"Pseudopleuronectes americanus",186
"Semotilus atromaculatus",183
"Fundulus heteroclitus",176
"undetermined",170
"Lepomis macrochirus",169
"Etheostoma flabellare",167
"Amia calva",161
"Myctophidae",149
"Etheostoma blennioides",147
"Cottus carolinae",135
"Lepomis megalotis",134
"Gambusia affinis",127
"Fundulus majalis",116
"Menidia menidia",116
"Hypentelium nigricans",115
"Etheostoma olmstedi",109
"Campostoma oligolepis",107
"Leiostomus xanthurus",104
"Cyprinodon variegatus",103
"Salaria pavo",103
"Brevoortia tyrannus",99
"Fundulus catenatus",98
"Fundulus olivaceus",98
"Lipophrys canevae",98
"Catostomus commersonii",97
"Sternoptyx diaphana",97
"Micropterus salmoides",94
"Histrio histrio",93
"Lythrurus fasciolaris",93
"Anguilla rostrata",91
"Lepomis cyanellus",90
"Notropis telescopus",89
"Leptocephalus",83
"Anchoa mitchilli",82
"Syngnathus fuscus",80
"Poecilia latipinna",79
"Siluriformes",77
"Lepomis gibbosus",75
"Nothonotus rufilineatus",75
"Rhinichthys atratulus",75
"Stephanolepis hispidus",75
"Menidia beryllina",74
"Ambloplites rupestris",72
"Cyclothone microdon",70
"Etheostoma nigrum",69
"Scophthalmus aquosus",69
"Alosa pseudoharengus",68
"Sphoeroides maculatus",67
"Cynoscion regalis",66
"Etheostoma zonale",66
"Lagodon rhomboides",66
"Clupeidae",65
"Cyclothone pallida",65
"Etheostoma stigmaeum",64
"Prionotus evolans",64
"Alosa",63
"Fundulus diaphanus",63
"Percina nigrofasciata",63
"Cyclothone braueri",62
"Cyprinella galactura",62
"Cichlidae",60
"Pomatomus saltatrix",60
"Centropristis striata",59
"Eucinostomus",59
"Clinostomus funduloides",58
"Micropterus dolomieu",58
"Etheostoma nigripinne",57
"Micropogonias undulatus",57
"Syngnathidae",57
"Synodus foetens",57
"Apeltes quadracus",56
"Rhinichthys obtusus",56
"Cynoscion jamaicensis",55
"Labidesthes sicculus",54
"Notropis boops",54
"Luxilus cornutus",53
"Notropis hudsonius",53
"Percina caprodes",53
"Tautoga onitis",53
"Urophycis regia",53
"Atherinidae",52
"Etheostoma simoterum",52
"Argyropelecus hemigymnus",50
"Cyprinella spiloptera",50
"Notemigonus crysoleucas",50
"Cottus bairdii",49
"Cyclothone",49
"Fundulus",49
"Micropterus punctulatus",49
"Cheilopogon heterurus",48
"Gasterosteus wheatlandi",48
"Anoplogaster cornuta",47
"Etheostoma flavum",47
"Menticirrhus saxatilis",47
"Myoxocephalus aenaeus",47
"Parachaenichthys charcoti",47
"Perca flavescens",47
"Etheostoma crossopterum",46
"Etheostoma spectabile",46
"Hybopsis amblops",45
"Lepomis auritus",45
"Prionotus carolinus",45
"Esox americanus",44
"Gambusia holbrooki",44
"Sciaenidae",44
"Chauliodus sloani",43
"Menidia",43
"Rhinichthys cataractae",43
"Sphoeroides",43
"Urophycis",43
"Ammodytes americanus",42
"Chaenocephalus aceratus",42
"Chrosomus erythrogaster",42
"Etheostoma duryi",42
"Lepisosteus osseus",42
"Peprilus triacanthus",42
"Lepidonotothen nudifrons",41
"Trinectes maculatus",41
"Monacanthus",40
"Parexocoetus hillianus",40
"Blenniidae",39
"Lepidonotothen larseni",39
"Lythrurus ardens",39
"Menidia menidia notata",39
"Percina burtoni",39
"Photostomias guernei",39
"Alosa aestivalis",38
"Floridichthys carpio",38
"Mugil cephalus",38
"Lucania parva",37
"Nocomis micropogon",37
"Notropis leuciodus",37
"Cyclopterus lumpus",36
"Cyprinella venusta",36
"Etheostoma lawrencei",36
