"Continent","Count"
"usa",13853
"bhs",1068
"prt",708
"mwi",559
"mex",531
"mdv",381
"pan",285
"lka",270
"per",239
"bmu",197
"phl",187
"cub",158
"can",139
"bra",138
"syc",136
"blz",120
"jam",120
"aus",69
"sur",68
"nic",62
"ken",59
"nor",56
"guy",55
"mys",50
"dom",43
"ecu",25
"lbn",25
"cmr",24
"deu",22
"npl",20
"chl",19
"nzl",19
"gbr",18
"ita",18
"mdg",16
"hnd",14
"cym",12
"uga",11
"slv",10
"egy",9
"hti",8
"jpn",7
"brb",6
"chn",6
"tza",6
"dma",5
"esp",5
"sgp",5
"arg",4
"grc",4
"mus",4
"zaf",4
"fra",3
"grl",3
"kor",3
"ven",3
"brn",2
"che",2
"dnk",2
"gha",2
"idn",2
"tca",2
"zwe",2
"col",1
"gnb",1
"gtm",1
"hkg",1
"irl",1
"isr",1
"png",1
"pri",1
"swe",1
