"Collector","Count"
"1",7
"2",3
"3",5
"5",78
"7",3
"8",1
"10",4
"11",24
"12",456
"14",1
"15",10
"31",1
"53",4
"58",5
"59",5
"60",4
"61",3
"63",2
"65",3
"68",4
"69",2
"70",2
"72",1
"97",1
"98",34
"99",2
"118",5
"172",3
"188",1
"347",2
"404",1
"1867",4
"1870",34
"1871",66
"1872",3
"1873",14
"1878",1
"1880",1
"1882",1
"1898",16
"1901",2
"1910",1
"1913",1
"1926",1
"1928",1
"1929",76
"1931",106
"1932",235
"1933",318
"1934",485
"1935",553
"1936",3
"1937",572
"1938",5
"1941",16
"1946",16
"1947",9
"1948",15
"1949",54
"1950",70
"1953",275
"1957",1055
"1958",1055
"1959",679
"1961",30
"1962",31
"1974",2
"1995",1
"2007",127
"2008",54
"2009",25
"2010",32
"2013",1
"5097",1
"9815",1
"10469",2
"a",22844
"s",22660
"c",19318
"h",19168
"r",15951
"d",14255
"b",14070
"j",13880
"e",13325
"m",11705
"v",8977
"l",8959
"w",8274
"rabor",7771
"heinrich",7186
"gerd",7090
"george",7011
"philip",6818
"dioscoro",6708
"bishop",6688
"thomas",6668
"p",6625
"humphrey",6482
"sibley",6286
"charles",5971
"fred",5379
"raymond",5130
"k",5089
"paynter",5042
"g",4862
"david",4723
"watson",4674
"richard",4608
"near",4571
"smith",4412
"expedition",4327
"marshall",4238
"ripley",4210
"klages",4068
"sydney",3960
"beaulieu",3774
"f",3620
"robert",3557
"austin",3466
"parsons",3212
"john",3194
"alpha",2721
"helix",2721
"kristof",2714
"zyskowski",2714
"kenneth",2676
"christopher",2646
"freidenburg",2636
"gregory",2523
"pawnee",2511
"colwell",2510
"watkins",2498
"louis",2476
"harrington",2475
"kitti",2472
"thonglongya",2472
"maser",2398
"james",2222
"atlantis",2199
"miller",2141
"lambert",1890
"maxime",1877
"stanley",1864
"edward",1774
"yale",1736
"peter",1726
"michael",1689
"bossu",1680
"christen",1680
"upton",1596
"t",1535
"amber",1499
"meredith",1499
"roman",1496
"remington",1491
"frederick",1482
"anton",1478
"leenders",1476
"benjamin",1474
"smylie",1469
"keck",1465
"lovejoy",1452
"carlos",1451
"joseph",1433
"moore",1431
"carriker",1424
"melbourne",1424
"william",1420
"sheldon",1418
"walter",1410
"n",1400
"jon",1390
"reed",1337
"sergei",1332
"drovetski",1331
"al",1216
"ball",1188
"henry",1176
"olalla",1165
"i",1164
"matthew",1159
"eric",1156
"susan",1141
"iii",1130
"phillip",1107
"wilfred",1082
"et",1080
"brian",1064
"d.s",1063
"ii",1063
"plowden",1060
"wardlaw",1060
"seychelles",1056
"yse",1055
"morrow",1051
"o",1043
"carlson",1040
"cuyler",1032
"havemeyer",1026
"jeffrey",1017
"jusup",1016
"khakiaj",1016
"alexis",1014
"harry",1013
"dornburg",1003
"rose",1001
"celestino",997
"kalinowski",997
"spendelow",983
"luis",958
"hollingsworth",916
"jonathan",909
"boonsong",908
"lekagul",908
"bolden",905
"verrill",896
"pena",884
"oberholser",829
"rasool",813
"van",803
"collection",802
"mariko",795
"yamasaki",795
"oliver",781
"colin",777
"oceanographic",775
"donihue",773
"jennifer",767
"gonzales",764
"allan",749
"warburg",749
"cruise",747
"bradburd",744
"gideon",744
"inglis",730
"ralph",713
"wan",713
"partridge",706
"moses",705
"waterman",696
"johnson",694
"talbot",694
"de",693
"junaidi",692
"discovery",691
"grinnell",691
"bingham",677
"leon",677
"jorge",667
"dickerman",666
"migdalski",663
"camp",651
"seymour",650
"andres",643
"baeza",643
"evan",639
"mccartney",637
"melstad",636
"brandley",613
"fuller",609
"warren",603
"elliot",597
"morrill",596
"bauer",588
"richardson",577
"gauthier",575
"frank",570
"jacques",569
"campbell",568
"hoesch",565
"parkes",564
"igor",554
"of",553
"paul",550
"arthur",543
"griffith",542
"devender",541
"daniel",538
"wagner",529
"jordan",527
"marko",526
"rakovic",526
"racey",520
"gunter",515
"roland",515
"kristen",509
"legters",505
"kuhn",502
"strauch",501
"sutton",500
"adriana",497
"rubinstein",497
"fox",490
"alexander",488
"jose",486
"teresa",486
"tracey",486
"willard",485
"beers",482
"iglesias",474
"eddy",473
"dan",471
"luc",467
"mark",466
"newell",465
"whiteman",464
"nelson",460
"kellie",458
"05",454
"pc",454
"pisces",454
"blanchard",452
"ligon",448
"hurley",445
"kendrick",443
"mary",437
"rudolf",436
"brazaitis",432
"manoch",431
"brower",428
"alpheus",427
"allison",426
"albert",425
"freund",423
"lazell",422
"steve",417
"georges",415
"maxim",414
"vincent",411
"rockwell",409
"stephens",404
"garber",403
"steinbach",398
"nathan",396
"cogneau",392
"kendall",392
"mittermeier",392
"alfred",391
"clarke",391
"delaware",385
"sliman",381
"williams",381
"dennis",375
"museum",373
"rogalski",371
"ryan",370
"baker",367
"heckman",364
"rice",364
"fadeev",361
"macintyre",358
"howard",356
"jones",350
"yen",350
"roach",344
"trevor",343
"milton",341
"archer",339
"andrew",338
"colosi",336
"persons",331
"morton",330
"niemiller",326
"varza",326
"pennington",325
"asplund",324
"and",323
"fisher",321
"kolby",320
"y",320
"mattos",318
"toni",318
"jillian",315
"lumen",314
"corbin",312
"skelly",310
"wedel",308
"ashmole",306
"tracy",304
"mason",302
"addison",300
"beatty",296
"samuel",296
"yamashita",296
"masayuki",295
"ono",295
"hill",293
"hartman",287
"langkilde",287
"bangga",286
"rebelo",286
"u.s",285
"judd",284
"eugene",283
"garner",282
"pillai",282
"leopold",281
"pospisil",280
"lomba",279
"da",278
"hiroyuki",278
"morioka",278
"robbins",273
"south",270
"gerrard",269
"anthony",267
"bregulla",263
"beck",260
"ames",259
"fisheries",258
"martin",257
"livingston",255
"netto",255
"oswaldo",255
"murray",254
"karagodin",252
"raine",252
"waterfowl",252
"savage",251
"conservancy",250
"storez",250
"detrich",247
"hank",246
"mckaye",243
"mosher",243
"braly",242
"denslow",242
"eames",240
"gentry",240
"mike",240
"taylor",240
"gaun",238
"armstrong",237
"woolsey",237
"ethan",236
"france",236
"freedburg",236
"kozal",236
"logan",236
"schmidt",235
"brooks",230
"gruner",229
"hochgraf",229
"von",226
"zoo",226
"gathorne",222
"medway",222
"natoli",222
"russell",221
"clark",220
"america",219
"yasa",219
"padan",215
"vanden",214
"kjell",208
"sneidern",208
"jason",207
"hall",204
"stowe",204
"thompson",201
"pratt",200
"parker",197
"bradley",195
"sidney",195
"macguigan",194
"usher",194
