"Country","Count"
"united states",74876
"philippines",8214
"brazil",6304
"mexico",6230
"argentina",5802
"tanzania",5357
"greece",5108
"malaysia",4571
"thailand",4565
"india",4126
"kenya",3928
"laos",3766
"canada",3619
"egypt",3611
"indonesia",3473
"australia",3175
"papua new guinea",3164
"costa rica",2921
"suriname",2244
"panama",1893
"angola",1830
"south africa",1808
"colombia",1783
"portugal",1709
"cameroon",1678
"peru",1652
"chile",1540
"russia",1413
"haiti",1385
"botswana",1375
"bahamas",1186
"ecuador",1175
"nepal",1135
"bolivia",1103
"french guiana",1069
"uruguay",968
"equatorial guinea",951
"cuba",939
"malawi",746
"bangladesh",713
"madagascar",713
"turkey",676
"trinidad and tobago",665
"china",636
"dominica",624
"japan",615
"united kingdom",615
"el salvador",611
"pakistan",570
"honduras",566
"senegal",555
"guyana",550
"hong kong",547
"namibia",532
"sri lanka",489
"venezuela",475
"maldives",415
"mariana islands",389
"israel",376
"curacao",371
"seychelles",349
"grenada",344
"republic of benin",299
"ivory coast",295
"zimbabwe",295
"scotland",292
"federated states of micronesia",284
"taiwan",284
"new zealand",282
"dominican republic",265
"dutch antilles",260
"somalia",258
"italy",253
"bermuda",233
"jamaica",224
"zambia",221
"paraguay",187
"new caledonia",185
"british virgin islands",183
"germany",183
"british west indies",177
"norway",168
"seychelles islands",152
"serbia",149
"myanmar",146
"france",145
"netherlands",144
"vanuatu",128
"belize",124
"denmark",119
"oman",119
"iceland",117
"spain",115
"barbados",110
"south west africa",108
"comoro islands",106
"uganda",106
"virgin islands",106
"swaziland",99
"iran",97
"liberia",97
"borneo",87
"korea",87
"guatemala",82
"puerto rico",82
"solomon islands",79
"tunisia",78
"nigeria",77
"great britain",76
"greenland",75
"nicaragua",69
"chagos archipelago",68
"soviet union",67
"brunei darussalam",66
"sudan",63
"malaya",59
"goa",52
"brunei",50
"finland",50
"congo, the democratic republic of the",45
"west cameroons",44
"vietnam",43
"palau",40
"west africa",40
"loyalty islands",39
"ghana",37
"saint lucia",36
"society islands",33
"singapore",32
"kiribati",28
"sweden",28
"switzerland",28
"tubuai islands",27
"antigua",25
"fiji",25
"gabon",25
"lebanon",25
"east africa",24
"morocco",23
"ireland",22
"east indies",21
"ethiopia",20
"leeward islands",20
"mozambique",19
"iraq",18
"marquesas islands",18
"virgin islands, u.s.",18
"zaire",18
"azores",17
"austria",16
"ceylon",14
"yugoslavia",14
"belgium",13
"cayman islands",13
"hungary",13
"south korea",13
"ussr",13
"bhutan",11
"west indies",11
"georgia",10
"saint vincent and the grenadines",10
"uzbekistan",9
"central america",8
"new guinea",8
"syria",8
"algeria",7
"martinique",7
"mauritius",7
"north africa",7
"philippine islands",7
"saudi arabia",7
"lesotho",6
"santa cruz islands",6
"tuamotu islands",6
"virgin islands [us]",6
"burma",5
"cosmoledo islands",5
"cyprus",5
"kazakhstan",5
"pacific ocean",5
"slovakia",5
"tajikistan",5
"guadeloupe",4
"northern rhodesia",4
"turks and caicos islands",4
"afghanistan",3
"caroline islands",3
"kyrgyzstan",3
"lesser antilles",3
"mongolia",3
"north pacific ocean",3
"poland",3
"samoa",3
"sulawesi",3
"tibet",3
"ukraine",3
"aegean islands region",2
"azerbaijan",2
"british east africa",2
"french indo-china",2
"gambia",2
"moldova",2
"montenegro",2
"romania",2
"sarawak",2
"sierra leone",2
"trinidad",2
"turkmenistan",2
"yemen",2
"australasia",1
"bahrain",1
"cook islands",1
"croatia",1
"czech republic",1
"guinea-bissau",1
"malta",1
"north pacific",1
"siberia",1
"south atlantic",1
"south pacific",1
