"Family","Count"
"ranidae",6539
"emberizidae",6257
"tyrannidae",5864
"parulidae",4896
"muscicapidae",4750
"thraupidae",4317
"icteridae",3940
"fringillidae",3927
"picidae",3816
"anatidae",3706
"turdidae",3536
"scolopacidae",3514
"pycnonotidae",3264
"columbidae",3230
"scincidae",3132
"cricetidae",2998
"colubridae",2916
"furnariidae",2616
"hylidae",2522
"trochilidae",2484
"laridae",2476
"nectariniidae",2472
"cyprinidae",2454
"corvidae",2427
"percidae",2337
"thamnophilidae",2244
"accipitridae",2140
"plethodontidae",2113
"cuculidae",2057
"phasianidae",2006
"estrildidae",1868
"cisticolidae",1859
"psittacidae",1848
"phrynosomatidae",1839
"cardinalidae",1835
"troglodytidae",1832
"paridae",1807
"bufonidae",1757
"meliphagidae",1677
"hirundinidae",1666
"vireonidae",1624
"sturnidae",1618
"phylloscopidae",1597
"strigidae",1535
"alaudidae",1516
"motacillidae",1502
"sciuridae",1453
"lacertidae",1417
"alcedinidae",1390
"gekkonidae",1330
"rallidae",1316
"polychrotidae",1307
"charadriidae",1291
"passeridae",1284
"ploceidae",1282
"ardeidae",1276
"zosteropidae",1237
"mimidae",1190
"soricidae",1157
"pelobatidae",1103
"ambystomatidae",1040
"cichlidae",1019
"sylviidae",956
"dicaeidae",942
"alligatoridae",933
"campephagidae",923
"falconidae",913
"muridae",906
"leiothrichidae",896
"laniidae",867
"centrarchidae",866
"monarchidae",844
"myctophidae",825
"dicruridae",818
"sittidae",807
"bovidae",806
"pipridae",790
"timaliidae",780
"pachycephalidae",779
"fundulidae",754
"salamandridae",726
"caprimulgidae",721
"apodidae",719
"labridae",694
"canidae",675
"acanthizidae",672
"alcidae",639
"agamidae",633
"megalaimidae",624
"viperidae",619
"rhipiduridae",618
"sciaenidae",606
"procellariidae",589
"irenidae",586
"malaconotidae",564
"clupeidae",557
"pellorneidae",548
"odontophoridae",539
"meropidae",534
"emydidae",527
"lybiidae",520
"blenniidae",517
"atherinidae",513
"oriolidae",511
"podicipedidae",509
"teiidae",508
"mustelidae",488
"regulidae",484
"trogonidae",448
"stomiidae",447
"vangidae",447
"carangidae",437
"eleutherodactylidae",434
"nototheniidae",430
"polioptilidae",415
"ramphastidae",414
"hydrobatidae",412
"tityridae",410
"gasterosteidae",403
"cercopithecidae",400
"bombycillidae",389
"paradisaeidae",389
"chamaeleonidae",376
"procyonidae",369
"felidae",368
"cervidae",363
"gonostomatidae",359
"serranidae",358
"calcariidae",355
"bucerotidae",354
"catostomidae",350
"cottidae",345
"gobiidae",344
"poeciliidae",339
"sulidae",339
"syngnathidae",337
"petroicidae",336
"eurylaimidae",335
"certhiidae",334
"phyllodactylidae",329
"vespertilionidae",328
"acrocephalidae",325
"tropiduridae",305
"cotingidae",303
"tetraodontidae",302
"melanocharitidae",300
"pomacentridae",299
"phyllostomidae",292
"exocoetidae",283
"leporidae",276
"tinamidae",273
"holocentridae",265
"phalacrocoracidae",265
"lamprophiidae",262
"aegithinidae",261
"cettiidae",259
"dicroglossidae",259
"pleuronectidae",259
"stenostiridae",257
"xantusiidae",257
"anguidae",256
"coraciidae",254
"dipodidae",254
"locustellidae",254
"platysteiridae",251
"sternoptychidae",245
"castoridae",242
"iguanidae",239
"aegithalidae",236
"melamphaidae",229
"monacanthidae",221
"triglidae",220
"testudinidae",219
"bucconidae",213
"microhylidae",205
"crocodylidae",200
"heteromyidae",198
"maluridae",197
"channichthyidae",194
"didelphidae",194
"haemulidae",191
"paralichthyidae",187
"engraulidae",185
"bataguridae",183
"musophagidae",182
"ictaluridae",181
"mugilidae",181
"arthroleptidae",179
"boidae",178
"momotidae",178
"prunellidae",178
"artamidae",177
"cyprinodontidae",177
"coliidae",176
"viduidae",172
"gerreidae",170
"sparidae",170
"characidae",169
"talpidae",169
"varanidae",169
"pittidae",168
"amiidae",167
"recurvirostridae",166
