"Region","Count"
"AGO",1499
"AIA",305
"ARG",999
"ASM",1020
"ATA",9936
"AUS",7181
"AUT",171
"BGD",1016
"BGR",7
"BHR",67
"BHS",15651
"BLZ",8221
"BMU",11337
"BOL",3527
"BRA",41209
"BRB",887
"BWA",130
"CAN",14045
"CHE",104
"CHL",2557
"CHN",6765
"CMR",2907
"COD",4341
"COG",105
"COK",456
"COL",14966
"COM",870
"CRI",16402
"CUB",4526
"CXR",2
"CYM",2214
"CYP",1
"DEU",276
"DMA",206
"DOM",1188
"DZA",26
"ECU",15678
"EGY",280
"ESP",842
"ETH",998
"FIN",33
"FJI",9729
"FRA",585
"GAB",3230
"GBR",640
"GHA",2242
"GIN",1337
"GLP",29
"GNQ",252
"GRC",126
"GRD",317
"GRL",101
"GTM",1992
"GUF",1030
"GUM",2100
"GUY",14054
"HKG",86
"HND",6107
"HRV",25
"HTI",2357
"HUN",13
"IDN",10252
"IND",5721
"IRL",147
"IRN",239
"IRQ",156
"ISR",367
"ITA",1419
"JAM",4106
"JPN",8539
"KEN",1412
"KHM",332
"KOR",252
"KWT",403
"LBN",350
"LBR",501
"LKA",2079
"MAR",54
"MDG",554
"MDV",1900
"MEX",56724
"MHL",7829
"MLI",58
"MMR",1420
"MNG",342
"MOZ",425
"MSR",6
"MTQ",324
"MUS",905
"MWI",944
"MYS",3287
"NAM",57
"NCL",555
"NFK",18
"NGA",783
"NIC",1992
"NIU",10
"NLD",52
"NOR",251
"NPL",1986
"NZL",1088
"OMN",1375
"PAK",2507
"PAN",18082
"PER",21473
"PHL",23788
"PLW",14283
"PNG",3181
"POL",59
"PRK",90
"PRT",842
"PRY",1466
"PYF",2641
"QAT",16
"ROU",761
"SAU",828
"SDN",140
"SEN",230
"SGP",1669
"SLB",2105
"SLE",130
"SLV",986
"SOM",1200
"STP",734
"SUR",2005
"SVN",5
"SWE",125
"SYC",1092
"SYR",97
"TCD",5
"THA",14808
"TON",372
"TTO",1189
"TUN",117
"TUR",40
"TWN",3158
"TZA",2218
"UGA",1668
"URY",641
"USA",1538102
"VEN",40949
"VNM",1558
"WSM",910
"ZAF",2003
"ZMB",1734
"ZWE",41
"BFA",13
"CAF",961
"CIV",2
"NER",46
"PRI",3647
"VIR",704
"ABW",24
"AFG",3
"ARE",76
"ATG",70
"BDI",153
"BTN",3
"CPV",63
"CZE",7
"DJI",84
"DNK",58
"ERI",14
"FLK",4
"GIB",1
"GMB",31
"GNB",124
"IOT",69
"ISL",15
"JOR",2
"KIR",1551
"KNA",14
"LCA",65
"MCO",3
"MKD",5
"MLT",2
"MNE",1
"MNP",892
"MRT",44
"PCN",23
"SGS",15
"SVK",7
"TCA",3
"TKL",1
"TLS",2
"TUV",16
"UKR",86
"VCT",30
"VUT",593
"WLF",7
"YEM",273
"BEN",417
"EST",1
"FSM",341
"RWA",2
"TGO",21
"ALB",1
"LBY",2
"KAZ",3
"BEL",76
"CUW",81
"NRU",12
"UMI",153
"ARM",4
"BLM",2
"BRN",3
"ESH",2
"SPM",1
"GEO",1
"BIH",2
"RUS",4
"TKM",78
"IMN",5
