"ASIHCode","variable","value"
"ANSP","RecordCount",146747
"ARK","RecordCount",5850
"AUM","RecordCount",66982
"BPBM","RecordCount",41212
"CAS","RecordCount",205031
"CSUC","RecordCount",408
"CU","RecordCount",90894
"FMNH","RecordCount",106196
"FSUCML","RecordCount",1015
"INHS","RecordCount",109283
"ISM","RecordCount",1952
"JFBM","RecordCount",38769
"KU","RecordCount",51643
"LACM","RecordCount",174970
"LSUMZ","RecordCount",17672
"MCZ","RecordCount",172899
"MHP","RecordCount",25535
"MPEG","RecordCount",25874
"MSUM","RecordCount",26841
"NCSM","RecordCount",80128
"OKMNH","RecordCount",56250
"OS","RecordCount",19219
"OSM","RecordCount",100141
"SBMNH","RecordCount",6746
"SUI","RecordCount",14865
"TCWC","RecordCount",50176
"TNHC","RecordCount",60109
"TU","RecordCount",203679
"UAIC","RecordCount",92766
"UAM","RecordCount",9968
"UAMZ","RecordCount",10838
"UCM","RecordCount",2271
"UF","RecordCount",222286
"UWFC","RecordCount",150169
"WNMU","RecordCount",379
"YPM","RecordCount",28339
"ANSP","SpecimenCount",1500122
"ARK","SpecimenCount",157858
"AUM","SpecimenCount",NA
"BPBM","SpecimenCount",103440
"CAS","SpecimenCount",1301582
"CSUC","SpecimenCount",2212
"CU","SpecimenCount",1253589
"FMNH","SpecimenCount",851742
"FSUCML","SpecimenCount",2461
"INHS","SpecimenCount",881318
"ISM","SpecimenCount",NA
"JFBM","SpecimenCount",NA
"KU","SpecimenCount",NA
"LACM","SpecimenCount",2786184
"LSUMZ","SpecimenCount",329902
"MCZ","SpecimenCount",172899
"MHP","SpecimenCount",NA
"MPEG","SpecimenCount",NA
"MSUM","SpecimenCount",NA
"NCSM","SpecimenCount",953025
"OKMNH","SpecimenCount",1976129
"OS","SpecimenCount",NA
"OSM","SpecimenCount",433945
"SBMNH","SpecimenCount",6746
"SUI","SpecimenCount",108
"TCWC","SpecimenCount",751530
"TNHC","SpecimenCount",NA
"TU","SpecimenCount",7406195
"UAIC","SpecimenCount",NA
"UAM","SpecimenCount",47263
"UAMZ","SpecimenCount",432062
"UCM","SpecimenCount",25040
"UF","SpecimenCount",NA
"UWFC","SpecimenCount",7737341
"WNMU","SpecimenCount",1690
"YPM","SpecimenCount",263385
