"ASIHCode","bluegill.individualCount"
"UWFC",7737341
"TU",7407714
"UMMZ",3461252
"LACM",2790511
"USNM",2603610
"UF",2413751
"OKMNH",1978306
"ANSP",1500101
"SIO",1382653
"TNHC",1350695
"CAS",1312214
"CU",1253561
"UAIC",1114630
"MMNS",1015618
"NCSM",952987
"INHS",888610
"FMNH",872714
"TCWC",751530
"AUM",728806
"KU",526619
"OSM",433945
"JFBM",335200
"LSUMZ",329902
"YPM",267460
"MCZ",173495
"ARK",157857
"OS",130775
"BPBM",103425
"UWZM",57170
"UAM",47468
"UCM",38508
"FSUCML",2461
"CSUC",2212
"SBMNH",2006
"WNMU",1713
"UTEP",1322
"SUI",23
"MSUM",0
