"ASIHCode","Holotype","Paratype"
"USNM",3817,12408
"MCZ",2407,1707
"CAS",2217,5915
"ANSP",2132,3803
"FMNH",1045,5586
"BPBM",754,2310
"UMMZ",655,4459
"LACM",253,1053
"SIO",223,1495
"YPM",175,152
"UF",135,1727
"CU",94,518
"INHS",68,286
"UWFC",22,131
"KU",20,206
"UAIC",20,338
"AUM",5,362
"OS",4,120
"TNHC",3,112
"NCSM",2,24
"UAM",1,NA
"ARK",NA,NA
"CSUC",NA,NA
"FSUCML",NA,NA
"JFBM",NA,NA
"LSUMZ",NA,NA
"MMNS",NA,NA
"MSUM",NA,NA
"OKMNH",NA,NA
"OSM",NA,58
"SBMNH",NA,NA
"SUI",NA,NA
"TCWC",NA,NA
"TU",NA,NA
"UCM",NA,6
"UTEP",NA,NA
"UWZM",NA,NA
"WNMU",NA,NA
