"Family","Count"
"acanthoclinidae",31
"acanthuridae",9214
"achiridae",5906
"acipenseridae",1938
"acropomatidae",1789
"adrianichthyidae",178
"agonidae",5583
"akysidae",75
"albulidae",909
"alepisauridae",474
"alepocephalidae",1947
"alestidae",953
"alopiidae",153
"ambassidae",1087
"amblycipitidae",110
"amblyopsidae",723
"amiidae",1350
"ammodytidae",8307
"amphiliidae",649
"anabantidae",580
"anablepidae",298
"anarhichadidae",329
"anguillidae",5283
"anomalopidae",105
"anoplogastridae",481
"anoplopomatidae",940
"anostomidae",5285
"antennariidae",3161
"aphredoderidae",7190
"aploactinidae",108
"aplocheilidae",1055
"aplodactylidae",10
"apogonidae",17793
"apteronotidae",2901
"argentinidae",660
"ariidae",4013
"ariommatidae",482
"arripidae",36
"aspredinidae",923
"astroblepidae",554
"astronesthidae",1327
"asymmetronidae",3
"atherinidae",14170
"auchenipteridae",3228
"aulopidae",127
"aulostomidae",574
"bagridae",1816
"balistidae",4958
"balitoridae: balitorinae",78
"balitoridae: nemacheilinae",198
"bathyclupeidae",129
"bathylagidae",8915
"bathymasteridae",2064
"batrachoididae",4468
"belonidae",5507
"belontiidae",488
"berycidae",87
"blenniidae",16113
"bothidae",5601
"bramidae",911
"branchiostomidae",566
"bregmacerotidae",1483
"bythitidae",2311
"caesionidae",934
"callichthyidae",2748
"callionymidae",2269
"callorhynchidae",173
"caproidae",703
"caracanthidae",205
"carangidae",23789
"carapidae",930
"carcharhinidae",3380
"catostomidae",71981
"centracanthidae",99
"centrarchidae",169865
"centrolophidae",1040
"centropomidae",1566
"cepolidae",170
"ceratiidae",794
"ceratodontidae",47
"cetopsidae",693
"cetorhinidae",47
"chacidae",24
"chaenopsidae",2515
"chaetodontidae",8808
"champsodontidae",158
"chanidae",283
"channidae",1103
"characidae",55847
"chaudhuriidae",23
"chauliodontidae",2802
"chaunacidae",764
"cheilodactylidae",192
"chiasmodontidae",1111
"chilodontidae",434
"chimaeridae",741
"chirocentridae",131
"chironemidae",20
"chlamydoselachidae",21
"chlopsidae",1910
"chlorophthalmidae",2047
"cichlidae",33655
"cirrhitidae",2279
"citharidae",95
"citharinidae",785
"clariidae",1410
"clinidae",2751
"clupeidae",31924
"cobitidae",2159
"colocongridae",103
"congiopodidae",42
"congridae",7492
"coracinidae",1
"coryphaenidae",1215
"cottidae",41199
"cottocomephoridae",33
"cranoglanididae",10
"creediidae",125
"crenuchidae",1984
"cryptacanthodidae",1542
"ctenoluciidae",520
"curimatidae",6579
"cyclopteridae",2299
"cyematidae",211
"cynodontidae",575
"cynoglossidae",4511
"cyprinidae",415607
"cyprinidae: acheilognathinae",20
"cyprinodontidae",16694
"dactylopteridae",774
"dactyloscopidae",1337
"dasyatidae",1708
"derichthyidae",741
"dinopercidae",11
"diodontidae",2613
"diplomystidae",39
"doradidae",3991
"draconettidae",72
"drepanidae",96
"dussumieriidae",151
"echeneididae",928
"elassomatidae",4897
"eleotrididae",797
"elopidae",1155
"embiotocidae",4023
"emmelichthyidae",119
"engraulidae",26654
"enoplosidae",24
"ephippididae",579
"epigonidae",756
"erythrinidae",3308
"esocidae",12052
"eurypharyngidae",416
"exocoetidae",6160
"fistulariidae",977
"gadidae",23368
"galaxiidae",307
"gasteropelecidae",1312
"gasterosteidae",8647
"gempylidae",2022
"gerreidae",8827
"gibberichthyidae",41
"giganturidae",204
