preps,Stand Prep,Stand Prep 2,Stand Prep 3,Tissue,Photo,,freq
NA,,,,,,,12688
70% ethanol within jar,EtOH,,,,,,5853
EtOH - 1,EtOH,,,,,,3705
whole organism (isopropanol),IsOH,,,,,,3693
70% EtOH - 1,EtOH,,,,,,2603
Fluid - 1,EtOH,,,,,,2350
70% alcohol,EtOH,,,,,,2275
alcoholic,EtOH,,,,,,1928
EtOH - 2,EtOH,,,,,,1896
whole animal (ETOH),EtOH,,,,,,1343
70% EtOH - 2,EtOH,,,,,,1317
Fluid - 2,EtOH,,,,,,1174
EtOH - 3,EtOH,,,,,,1141
1 alc; 0 sk; 0 c&s,EtOH,,,,,,1084
vial,EtOH,,,,,,1034
whole animal (alcohol),EtOH,,,,,,968
ethanol within vial,EtOH,,,,,,885
EtOH - 4,EtOH,,,,,,801
70% EtOH - 3,EtOH,,,,,,779
EtOH - 5,EtOH,,,,,,762
fluid - 1,EtOH,,,,,,723
Fluid - 3,EtOH,,,,,,698
fluid,EtOH,,,,,,693
70% EtOH - 4,EtOH,,,,,,573
IsOH - 1,IsOH,,,,,,563
2 alc; 0 sk; 0 c&s,EtOH,,,,,,497
Fluid - 4,EtOH,,,,,,493
EtOH - 6,EtOH,,,,,,481
Alcohol,EtOH,,,,,,437
70% EtOH - 5,EtOH,,,,,,414
skeleton,Skeleton,,,,,,402
EtOH - 7,EtOH,,,,,,400
fluid - 2,EtOH,,,,,,389
Fluid - 5,EtOH,,,,,,362
70% EtOH - 6,EtOH,,,,,,336
EtOH - 8,EtOH,,,,,,333
3 alc; 0 sk; 0 c&s,EtOH,,,,,,320
10% form.->70% alc.,EtOH,,,,,,305
Fluid - 6,EtOH,,,,,,290
fluid - 4,EtOH,,,,,,288
fluid - 3,EtOH,,,,,,285
EtOH - 10,EtOH,,,,,,274
EtOH - 9,EtOH,,,,,,265
70% EtOH - 7,EtOH,,,,,,256
IsOH - 2,IsOH,,,,,,255
4 alc; 0 sk; 0 c&s,EtOH,,,,,,241
Fluid - 7,EtOH,,,,,,221
70% EtOH - 8,EtOH,,,,,,214
jar,EtOH,,,,,,203
EtOH - 11,EtOH,,,,,,188
70% EtOH - 10,EtOH,,,,,,173
70% EtOH - 9,EtOH,,,,,,173
Fluid - 8,EtOH,,,,,,165
Fluid - 9,EtOH,,,,,,165
fluid - 5,EtOH,,,,,,163
EtOH - 12,EtOH,,,,,,157
IsOH - 3,IsOH,,,,,,154
5 alc; 0 sk; 0 c&s,EtOH,,,,,,153
6 alc; 0 sk; 0 c&s,EtOH,,,,,,147
Fluid - 10,EtOH,,,,,,131
EtOH - 14,EtOH,,,,,,126
EtOH - 15,EtOH,,,,,,121
70% ETHANOL/ SMALL JAR,EtOH,,,,,,119
EtOH - 13,EtOH,,,,,,119
skeleton - 1,Skeleton,,,,,,119
10% form.->70% alc.; tissue in EtOH,EtOH,,,TRUE,,,116
7 alc; 0 sk; 0 c&s,EtOH,,,,,,114
EtOH - 20,EtOH,,,,,,113
Fluid - 11,EtOH,,,,,,111
70% EtOH - 12,EtOH,,,,,,109
fluid - 6,EtOH,,,,,,108
Fluid - 12,EtOH,,,,,,107
70% EtOH - 11,EtOH,,,,,,104
fluid - 7,EtOH,,,,,,100
whole organism (ethanol),EtOH,,,,,,99
EtOH - 16,EtOH,,,,,,96
8 alc; 0 sk; 0 c&s,EtOH,,,,,,93
fluid - 8,EtOH,,,,,,93
fossil - 1,Fossil,,,,,,93
9 alc; 0 sk; 0 c&s,EtOH,,,,,,90
Fluid - 13,EtOH,,,,,,89
70% ETHANOL,EtOH,,,,,,86
70% EtOH - 13,EtOH,,,,,,78
10 alc; 0 sk; 0 c&s,EtOH,,,,,,73
Fluid - 15,EtOH,,,,,,73
fluid - 10,EtOH,,,,,,72
EtOH - 18,EtOH,,,,,,70
70% EtOH - 15,EtOH,,,,,,69
fluid - 9,EtOH,,,,,,69
none - 1,,,,,,,69
EtOH - 17,EtOH,,,,,,68
whole organism (alcohol),EtOH,,,,,,68
70% EtOH - 14,EtOH,,,,,,67
IsOH - 4,IsOH,,,,,,66
70% EtOH - 16,EtOH,,,,,,64
Fluid - 16,EtOH,,,,,,64
IsOH - 5,IsOH,,,,,,64
Fluid - 17,EtOH,,,,,,63
11 alc; 0 sk; 0 c&s,EtOH,,,,,,60
EtOH - 19,EtOH,,,,,,58
Fluid - 14,,,,,,,55
12 alc; 0 sk; 0 c&s,EtOH,,,,,,54
EtOH - 25,EtOH,,,,,,54
fluid - 11,EtOH,,,,,,54
isopropanol - 1,IsOH,,,,,,54
skeleton within container,Skeleton,,,,,,54
EtOH - 21,EtOH,,,,,,52
Skel - 1,Skeleton,,,,,,51
14 alc; 0 sk; 0 c&s,EtOH,,,,,,50
IsOH - 6,IsOH,,,,,,50
Fluid - 18,EtOH,,,,,,48
alcohol,EtOH,,,,,,47
EtOH - 26,EtOH,,,,,,46
fluid - 13,EtOH,,,,,,45
Fluid - 19,EtOH,,,,,,45
10% form.->70% alc.; tissue in EtOH; tissue in EtOH,EtOH,,,TRUE,,,44
IsOH - 7,IsOH,,,,,,44
70% EtOH - 17,EtOH,,,,,,43
70% EtOH - 18,EtOH,,,,,,42
EtOH - 22,EtOH,,,,,,42
fluid - 15,EtOH,,,,,,42
13 alc; 0 sk; 0 c&s,EtOH,,,,,,41
Fluid - 21,EtOH,,,,,,41
EtOH,EtOH,,,,,,40
EtOH - 30,EtOH,,,,,,40
fluid - 12,EtOH,,,,,,39
isopropanol - 2,IsOH,,,,,,39
originally: 10% formalin,EtOH,,,,,,39
15 alc; 0 sk; 0 c&s,EtOH,,,,,,38
fluid - 14,EtOH,,,,,,38
fluid - 16,EtOH,,,,,,38
Fluid - 20,EtOH,,,,,,38
EtOH - 27,EtOH,,,,,,37
Fluid - 22,EtOH,,,,,,37
EtOH - 24,EtOH,,,,,,36
Fluid - 24,EtOH,,,,,,36
70% EtOH - 20,EtOH,,,,,,35
70% EtOH - 21,EtOH,,,,,,35
Fluid - 23,EtOH,,,,,,35
osteo,Skeleton,,,,,,35
EtOH - 23,EtOH,,,,,,34
fluid - 17,EtOH,,,,,,34
fluid - 18,EtOH,,,,,,34
10% form.->70% alc.; tissue in EtOH; tissue in EtOH; tissue in EtOH,EtOH,,,TRUE,,,33
17 alc; 0 sk; 0 c&s,EtOH,,,,,,33
0 alc; 0 sk; 0 c&s,,,,,,,32
16 alc; 0 sk; 0 c&s,EtOH,,,,,,32
18 alc; 0 sk; 0 c&s,EtOH,,,,,,32
70% EtOH - 22,EtOH,,,,,,32
70% EtOH - 24,EtOH,,,,,,32
Fluid - 25,EtOH,,,,,,32
Tissue - 100,Tissue,,,,,,31
EtOH - 29,EtOH,,,,,,29
alcohol prep.,EtOH,,,,,,28
IsOH - 8,IsOH,,,,,,28
cleared and stained,C&S,,,,,,27
EtOH - 31,EtOH,,,,,,27
DRY/ BONES,Skeleton,,,,,,26
24 alc; 0 sk; 0 c&s,EtOH,,,,,,25
23 alc; 0 sk; 0 c&s,EtOH,,,,,,24
EtOH - 28,EtOH,,,,,,24
fluid - 19,EtOH,,,,,,24
fluid - 22,EtOH,,,,,,24
IsOH - 11,IsOH,,,,,,24
70% EtOH - 23,EtOH,,,,,,23
fluid - 20,EtOH,,,,,,23
25 alc; 0 sk; 0 c&s,EtOH,,,,,,22
19 alc; 0 sk; 0 c&s,EtOH,,,,,,21
20 alc; 0 sk; 0 c&s,EtOH,,,,,,21
70% EtOH - 19,EtOH,,,,,,21
EtOH - 35,EtOH,,,,,,21
Fluid - 30,EtOH,,,,,,21
IsOH - 10,IsOH,,,,,,21
21 alc; 0 sk; 0 c&s,EtOH,,,,,,20
70% alc.,EtOH,,,,,,20
70% EtOH - 25,EtOH,,,,,,20
fluid - 23,EtOH,,,,,,20
IsOH - 9,IsOH,,,,,,20
EtOH - 37,EtOH,,,,,,19
Fluid - 28,EtOH,,,,,,19
EtOH - 33,EtOH,,,,,,18
fluid - 21,EtOH,,,,,,18
Fluid - 26,EtOH,,,,,,18
Fluid - 33,EtOH,,,,,,18
22 alc; 0 sk; 0 c&s,EtOH,,,,,,17
EtOH - 1; tissue - 1; tissue - 1,EtOH,,,TRUE,,,17
EtOH - 34,EtOH,,,,,,17
Fluid - 27,EtOH,,,,,,17
fluid - 28,EtOH,,,,,,17
26 alc; 0 sk; 0 c&s,EtOH,,,,,,16
95% EtOH (spec) - 1,EtOH > 90%,,,,,,16
EtOH - 32,EtOH,,,,,,16
EtOH - 40,EtOH,,,,,,16
fluid - 24,EtOH,,,,,,16
fluid - 29,EtOH,,,,,,16
Fluid - 29,EtOH,,,,,,16
fluid - 34,EtOH,,,,,,16
Fluid - 34,EtOH,,,,,,16
Fluid - 35,EtOH,,,,,,16
fluid - 37,EtOH,,,,,,16
IsOH - 13,IsOH,,,,,,16
Skeleton; complete; &,Skeleton,,,,,,16
unknown,,,,,,,16
31 alc; 0 sk; 0 c&s,EtOH,,,,,,15
70% EtOH - 30,EtOH,,,,,,15
fluid - 27,EtOH,,,,,,15
fluid - 35,EtOH,,,,,,15
Fluid - 41,EtOH,,,,,,15
Liquid,EtOH,,,,,,15
tissue - 1; EtOH - 1; tissue - 1,EtOH,,,TRUE,,,15
27 alc; 0 sk; 0 c&s,EtOH,,,,,,14
32 alc; 0 sk; 0 c&s,EtOH,,,,,,14
70% ethanol within vial,EtOH,,,,,,14
70% EtOH - 27,EtOH,,,,,,14
EtOH - 36,EtOH,,,,,,14
