"institutioncode","collectioncode","catalognumber","preps"
"uf","fish","103953","EtOH - 3"
"omnh","fish","65020.0",NA
"uafmc","fish","0068-0832-2089","alcoholic"
"ohio state university - fish division, columbus, oh (osum)","fishes","osum 7916","70% ethanol within jar"
"fmnh","fishes","392",NA
"omnh","fish","41412.0",NA
"tcwc","ichthyology","13079.01","70% alcohol"
"tnhc","ichthyology","49340","Fluid - 4"
"tcwc","ichthyology","15317.04","70% alcohol"
"tcwc","ichthyology","16171.07","70% alcohol"
"uf","fish","168463","EtOH - 23"
"ua","uaic","06795.22","70% EtOH - 3"
"tnhc","ichthyology","36449","Fluid - 4"
"msum","ic","ic.5812","fluid"
"msum","ic","ic.3465","fluid"
"cumv","fish specimens","84528","whole organism (isopropanol)"
"omnh","fish","63539.0",NA
"ohio state university - fish division, columbus, oh (osum)","fishes","osum 79719","70% ethanol within jar"
"ua","uaic","01160.06","70% EtOH - 5"
"ucm","fish specimens","7227","whole organism (ethanol)"
"omnh","fish","78009.0",NA
"ohio state university - fish division, columbus, oh (osum)","fishes","osum 102129","ethanol within vial"
"fhsm","fhsm-i","24588","fluid - 2"
"uf","fish","136229","IsOH - 3"
"ua","uaic","13961.11","70% EtOH - 10"
"ua","uaic","09230.08","70% EtOH - 8"
"ua","uaic","02395.09","70% EtOH - 1"
"tnhc","ichthyology","8332","Fluid - 1"
"uf","fish","160341","tissue - 1; tissue - 1; tissue - 2; EtOH - 28more than 4 prep types"
"uf","fish","147864","EtOH - 2"
"omnh","fish","31316.0",NA
"uf","fish","115060","EtOH - 2"
"ohio state university - fish division, columbus, oh (osum)","fishes","osum 104470","-80°F freezer"
"ohio state university - fish division, columbus, oh (osum)","fishes","osum 95580","ethanol within vial"
"uf","fish","174694","EtOH - 2"
"tnhc","ichthyology","44933","Fluid - 5"
"uf","fish","171635","EtOH - 4"
"ohio state university - fish division, columbus, oh (osum)","fishes","osum 108140","vial"
"lsumz","fishes","3843","alcoholic"
"omnh","fish","61342.0",NA
"tnhc","ichthyology","40942","Fluid - 1"
"ua","uaic","06484.21","70% EtOH - 16"
"tnhc","ichthyology","41049","Fluid - 9"
"cumv","fish specimens","36409","whole organism (isopropanol)"
"uf","fish","237055","EtOH - 1"
"omnh","fish","76806.0",NA
"uf","fish","56483","EtOH - 4"
"uf","fish","114735","EtOH - 1"
"uf","fish","162707","tissue - 2; EtOH - 3"
"omnh","fish","19208.0",NA
"rom","fishes","81417","whole animal (ETOH)"
"ua","uaic","13797.05","70% EtOH - 2"
"omnh","fish","46286.0",NA
"rom","fishes","75824","whole animal (ETOH)"
"fhsm","fhsm-i","17138","fluid - 4"
"cumv","fish specimens","12740","whole organism (isopropanol)"
"tnhc","ichthyology","54178","Fluid - 2"
"cumv","fish specimens","35608","whole organism (isopropanol)"
"uf","fish","120689","IsOH - 3"
"tcwc","ichthyology","8930.04","70% alcohol"
"ua","uaic","14020.02","70% EtOH - 1"
"lsumz","fishes","8344","alcoholic"
"tnhc","ichthyology","26377","Fluid - 1"
"omnh","fish","31429.0",NA
"ku","kui","25784","EtOH - 3"
"uf","uf","130427",NA
"uf","fish","138306","EtOH - 1"
"ua","uaic","12253.07","70% EtOH - 1"
"ku","kui","9350","X-Ray - 1; EtOH - 2"
"tnhc","ichthyology","46771","Fluid - 2"
"msum","ic","ic.2992","fluid"
"ku","kui","1382","EtOH - 6"
"uf","fish","118555","EtOH - 5"
"lsumz","fishes","8288","alcoholic"
"ohio state university - fish division, columbus, oh (osum)","fishes","osum 98604","vial"
"tnhc","ichthyology","23391","Fluid - 17"
"cumv","fish specimens","65703","whole organism (isopropanol)"
"rom","fishes","30904","whole animal (ETOH)"
"uf","fish","158561","EtOH - 1"
"fhsm","fhsm-i","11038","fluid - 90"
"uf","fish","91326","EtOH - 1"
"ua","uaic","08351.07","70% EtOH - 2"
"omnh","fish","65099.0",NA
"uf","fish","130476","EtOH - 6"
"ku","kui","36825","EtOH - 6"
"ohio state university - fish division, columbus, oh (osum)","fishes","osum 30066","vial"
"uf","fish","63322","EtOH - 8"
"ohio state university - fish division, columbus, oh (osum)","fishes","osum 99822","jar"
"ku","kui","25038","EtOH - 30"
"omnh","fish","83487.0",NA
"omnh","fish","48739.0",NA
"ohio state university - fish division, columbus, oh (osum)","fishes","osum 68498","70% ethanol within jar"
"ku","kui","37992","EtOH - 2"
"cumv","fish specimens","12213","whole organism (isopropanol)"
"tnhc","ichthyology","22428","Fluid - 1"
"omnh","fish","75481.0",NA
