ASIHCode,recordset_uuid,collection_uuid,logo,collection_description
ANSP,11d3ad3b-38de-4709-8544-ec3c26d96607,91fbab09-086e-4256-a673-407c39da5870,https://cdn.evbuc.com/eventlogos/1462430/5833087923-1.jpg,"Ichthyology has been a part of research at the Academy since its beginnings, but its importance has increased dramatically since 1898 when it acquired the entire personal collection of the famous 19th century naturalist Edward Drinker Cope and Henry Weed Fowler became its first full-time curator. The collection has continued to grow in size, scope, and importance since its founding. The collection is taxonomically diverse, but its especially strong among eels, characiforms and catfish. Its geographic scope is world-wide, but it's strengths include freshwater species of North and South America and marine species of the Bahamas, Western Atlantic and Indian Oceans. Continued growth results from recent expeditions to the Bahamas, South America and Asia."
ARK,55d60f69-eee9-4386-952a-805dfb71830a,,,
AUM,cab6d230-499b-4a21-9cc2-2750e14e92f8,154399f4-5d97-4bc5-8942-dc3fd67f092d,http://aumnh.org/wp-content/uploads/2011/10/toomers-oak.png,"The fish collection at Auburn University is among the most important collections of fishes from the southeastern United States. Particularly strong are collections from all over Alabama and Georgia. These collections include some of the few major collections from the southeastern United States made prior to 1950. Also included are specimens of most fish species of the United States and a significant collection of marine fishes from the Gulf of Mexico. The fish collection also includes a strong Neotropical fish collection from Bolivia, Brazil, Colombia, Ecuador, Guatemala, Guyana, Panama, Peru, and Venezuela. There are also significant collections from Africa and Southeast Asia. The collection is currently 100% computerized. "
BPBM,a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a,1614381b-560f-4618-8ebb-c41a3bf52a46,http://kamaainakids.com/public/kamaainakids/doucments/CompanyLogo.jpg,"Started in 1889, the Bishop Museum Ichthyology collection is among the largest and most complete for the vast Indo-Pacific region. The primary emphasis of the collection is tropical coral-reef fishes within the Indo-Pacific, but it also includes material from pelagic and deep-sea environments. The collection includes a few freshwater fishes, mostly from rivers and streams in the Hawaiian Islands and elsewhere in Oceania. The collection is fully digitized, with complete and annotated records for all specimens entered in the database, and many of the film images scanned. The fish collection represents the bulk of the lifetime work of Dr. John E. Randall, Senior Ichthyologist (now Emeritus), who began working in the collection in 1965 and a half-century later continues to publish on fish systematics and biogeography. Dr. Richard L. Pyle continues to add to the collection, with an emphasis on collecting specimens from deep coral-reef ecosystems (so-called Mesophotic Coral Ecosystems, or the Coral-Reef Twilight Zone), using advanced diving technology."
CAS,beb74dc2-22ea-49e4-b1e3-bedb8e06e8f2,7e32a494-3e8f-429d-b3dc-330d65a90c1d,https://www.etc.cmu.edu/wp-content/uploads/2013/09/logo_wide.jpg,"Founded in 1906, the CAS fish collection contains specimens from around the world, representing a significant cross-section of aquatic life. The strengths of its holdings lie principally in marine fishes of the western and central Pacific, especially California, as well as freshwater fishes from South America and southeastern Asia. To further support marine research and the wider ichthyology community, we also house older historic collections from North America and a large number of type specimens."
CSUC,8660ce9a-31c9-48ee-b5bc-9e6ba248ec0f,b35b9742-dcbd-11e4-ae1c-002315492bbc,http://rce.csuchico.edu/sites/default/files/pltw/flame_500px.png,"The CSU, Chico (CSUC) Vertebrate Museum collections are comprised mostly of specimens collected from the mid 1930s to present, although many of our animals (e.g., exotic birds), acquired through trades or donations, date back to the latter part of the 19th century.  Biology faculty and supporters including Dr. Vesta Holt, Dr. Lloyd and Elizabeth Ingles, and Dr. Tom Rodgers, to name but a few, were among the contributors to the early development of our vertebrate collections. Although active collection by shooting, trapping, and netting were commonplace during the formative years of the museum, salvage as well as donations coming from state and federal agencies have been the most common means of specimen acquisition since the late 1970s."
CU,4fecde59-9f59-44eb-ab6f-4a50b4ed85cf,d716bf9b-5591-4130-9079-791e8260b303,https://pbs.twimg.com/profile_images/2455339405/fog8fjjeer9vbzn0miqk_400x400.png,"The CUMV Fish Collection was established shortly after the founding of the university in 1865. Many of the earliest specimens were collected by well known researchers such as David Starr Jordan, Carl Eigenmann, Charles Frederick Hartt and Seth Meek. Although there is worldwide representation of both marine and freshwater species, the bulk of the collection is strongly representative of freshwater fishes from eastern North America and has formed the basis for numerous systematic works on the North American fish fauna. Much of the material is in large geographic series, and many sites have been sampled repeatedly through extended periods of time. Some specimens are from the original New York State Biological Survey (1926-39). Many of the collections are from the highly industrialized Northeast and Middle Atlantic states and thus document earlier faunas in habitats now greatly altered, and there are repeated samples through time from many of these localities. "
FMNH,a7020dbf-35fc-46e8-a441-c0a6b957193c,b8b4508d-c8ed-45b7-ac0c-53f52436d732,http://birds.fieldmuseum.org/sites/birds.fieldmuseum.org/files/fm-logo_4.png,"Established in 1894, The Field Museum's Division of Fishes collections have grown out of the cumulative effort of 12 past and current curators and countless professional staff, students, and associates. This emphasis on the collection and research of freshwater and marine fishes has made The Field Museum a leader in the evolutionary biology of fishes.
Seth E. Meek (1897-1914) pioneered the study of Neotropical freshwater fishes. Loren P. Woods (1941-1978) amassed large and important collections of freshwater fishes from North America and marine fishes from the Atlantic, Indian, and Pacific Oceans. Robert K. Johnson (1972-1986) obtained significant collections of mesopelagic fishes and shorefishes from Belize and Honduras amounting to more than 100,000 specimens. Donald J. Stewart (1978-1985), Barry Chernoff (1987-2002), and later Assistant Collection Manager Phil Willink (2002-2010) rejuvenated our early Neotropical freshwater research and collection emphasis by conducting numerous expeditions to Ecuador, Peru, Surinam, and Venezuela. Since his arrival, Mark Westneat (1991-2013) expanded the marine collections, focusing on Indo-Pacific coral reef fishes. Leo Smith (2007-2013) strengthened the midwater and deep-sea collections from both sides of the north Pacific Ocean. Caleb McMahan (2014-present) works on growth of the Neotropical collections."
FSUCML,fa83c2bd-926c-42f1-8cd4-d57c5fd21f33,61484044-6029-4542-9f7f-535fe3de1129,https://www.marinelab.fsu.edu/outreach/openhouse/images/logos/2015%20FSUCML%20Logo%20-%20round.jpg,"The mission of the FSUCML is to conduct innovative, interdisciplinary research focused on the coastal and marine ecosystems of the Wider Caribbean that contribute to solving the ecological problems of the region by providing the scientific underpinnings for informed policy decisions. The Wider Caribbean includes the large marine ecosystems of the Gulf of Mexico, the Caribbean Sea, and the southeast U.S. Continental Shelf (thus covering both Florida coasts) an area that is both enormously underserved and of high economic and geostrategic value."
INHS,45544aa4-8762-4bf0-bfc6-890d08dc6ead,bc97581a-3c6c-4e7d-86ed-0a070f45a0f7,http://wwx.inhs.illinois.edu/packages/theme_inhs_collections_201410/themes/collections/elements/images/INHS.png,"A large part of the Illinois Natural History Fish Collection comes from specimens collected from 1880 to 1905 for S.A. Forbes and R.E. Richardson's The Fishes of Illinois published in 1908 and from specimens collected from 1950 to 1978 for P.W. Smith's The Fishes of Illinois published in 1979. Thousands of specimens have been added from other areas of North and South America in the past few decades. The collection contains representatives from 48 of the 50 states and many countries including: Angola, Antigua, Bolivia, Brazil, Canada, Colombia, Costa Rica, England, Guyana, Indonesia, Lebanon, Mexico, Pakistan, Panama, Paraguay, Peru, Puerto Rico, Romania, Russia, Thailand, Trinidad Venezuela, and Yugoslavia. The geographic scope of the collection is about 58% from Illinois, 28% from elsewhere in North America, 13% from South America, and 1% from the rest of the world, including Antarctica."
