"institutioncode","collectioncode","recordset"
"tcwc","ichthyology","79dfdec6-3e24-489c-a7ce-85dcc52bc3f9"
"rom","fishes","387ae47b-8641-4e3c-ae66-d1e20d93cf32"
"mcz","ich","271a9ce9-c6d3-4b63-a722-cb0adc48863f"
"lacm","fish","2d853a6d-50ec-4931-8e91-48fc2491fdee"
"royal ontario museum: rom","vertebrate paleontology","2d86bdb0-a563-4a35-b990-469e9e896712"
"nrm","nrm-fish","021e2617-7532-4cef-806c-690bed32ab84"
"fsucml","zoological collection","fa83c2bd-926c-42f1-8cd4-d57c5fd21f33"
"csuc","fish","8660ce9a-31c9-48ee-b5bc-9e6ba248ec0f"
"sbmnh","fh","9d8ced48-62c5-4ce0-99e7-a03550c674c0"
"ucmp","v","5ab348ab-439a-4697-925c-d6abe0c09b92"
"instituto nacional de pesquisas da amazônia (inpa)","coleção ictiológica, instituto nacional de pesquisas da amazônia (inpa)","9e103d5f-fc45-4375-b416-802659e6dc1b"
"msu","vp","9dce915b-3de4-4a7d-a68d-e4c4c15809ce"
"bpbm","i","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a"
"sbmnh","os","9d8ced48-62c5-4ce0-99e7-a03550c674c0"
"msu","vptc","9dce915b-3de4-4a7d-a68d-e4c4c15809ce"
